medicamento,substancia_correta,llm_response
INFLIXimabe 10mg/mL,InFLIXimabe,Infliximabe
Imipra 25mg Cp rev (Med. Controlado) (Não Padrão),IMIPRAMINA,Imipramina
CEFUROXIMA SODICA 750MG FAM,CEFUROXIMA,Cefuroxima
AmiTRIPtilina 25MG COMP. (TRYPTANOL),AMITRIPTILINA,Amitriptilina
Salmeterol+Fluticasona 25+125mcg/jato spray,SALMETEROL + FLUTICASONA,Salmeterol e Fluticasona
CefTAZidima PO PARA SOLUCAO INJETAVEL 1G,CEFTAZIDIMA,Ceftazidima
AloPURinol 300 mg,AloPURinol,Alopurinol
BECLOMETASONA  SPRAY ORAL 50 MCG/JAT FR,beclometasona,Beclometasona
CIMETIDINA 150MG / ML  IM / IV,cimetidina,Cimetidina
CIPROFLOXACINO + HIDROCORTISONA COLIRIO FRASCO  - NP,ciprofloxacino + HIDROCORTISONA (otológico),"Ciprofloxacino, Hidrocortisona"
"RASBURICASE 1,5MG PO FA",RASBURICASE,Rasburicase
DipiRONA 500MG CPR,DipiRONA,Dipirona
"SOLUCAO FISIOLOGICA 0,9% 500ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de sódio
ACIDO ACETIL SAL INFAN 100MG 10 CP AV,ACIDO ACETILSALICILICO <200MG,Ácido Acetilsalicílico
Piemonte Env 4mg,MONTELUCASTE DE SODIO,Montelucaste
N-ACETILCISTEINA 20MG/1ML XAROPE PED,ACETILCISTEINA,N-Acetilcisteína
LAMOTRIGINA 100MG - COMPRIMIDO,LAMOTRIGINA,Lamotrigina
Fomblin Hcr 3% + Alantoína 1% + Óleo de Silicone 10%  Pote 100g Creme,CREME PROTETOR,"Fomblin Hcr, Alantoína, Óleo de Silicone"
(NAO PADRAO) ACIDO VALPROICO 500MG COMPRIMIDO,ACIDO VALPROICO (VALPROATO DE SODIO),Ácido Valproico
"Isossorbida, Dinitrato 10mg Cp",ISOSSORBIDA,Dinitrato de Isossorbida
ALENIA 12/400 (01 CAPSULA DE 12/12 HORAS),FORMOTEROL + BUDESONIDA,Budesonida + Formoterol
PROPRANOLOL 40 MG - COMP,PROPRANOLOL,Propranolol
PERTUZUMABE+TRASTUZUMABE 600 MG + 600 MG SOL. INJ. - QT,PERTUZUMABE + TRASTUZUMABE,"Pertuzumabe, Trastuzumabe"
"SOLUCAO DE DIALISE PERITONEAL 4,25% BOLS 6000ML",GLICOSE MONOHIDRATADA + LACTATO DE SODIO + CLORETO DE SODIO + CLORETO DE CALCIO DI-HIDRATADO + CLORETO DE MAGNESIO HEXAIDRATADO,Dextrose
VASOGARD 100MG 30 CP C,Cilostazol,Pentoxifilina
ANASTROLIBBS (ANASTROZOL) 1MG COMP,ANASTROZOL,Anastrozol
AMICACINA 500MG / 2ML,AMICACINA ,Amicacina
DOCETAXEL 20MG/ML,DOCETAXEL,Docetaxel
Medicamento do paciente (uso eventual) 06,MEDICAMENTO DO PACIENTE,"Desculpe, mas você não forneceu um nome específico de medicamento. Por favor, forneça o nome do medicamento para que eu possa identificar a substância ativa."
Corentel 10mg Cp rev (Importado) (Não Padrão),BISOPROLOL,Bisoprolol
PIRIMETAMINA 25 mg,PIRIMETAMINA,Pirimetamina
MC: METOPROLOL ( SELOZOK  25 ,METOPROLOL SUCCINATO,Metoprolol
BISACODIL 5 MILIGRAMAS,BISACODIL,Bisacodil
HIDROXIDO DE FERRO III 100 MILIGRAMAS (COMPRIMIDO),FERRIPOLIMALTOSE (FERRO HIDROXIDO SACARATO),Hidróxido de Ferro III
ANLODIPINO 5MG (NORVAX),ANLODIPINO,Amlodipino
DIPIRONA 500MG/ML SOLUCAO ORAL DOSE 13 GOTAS,DipiRONA,Dipirona
ERTAPENEM SODICO PO LIOFILO INJETAVEL 1G,ERTAPENEM,Ertapenem Sódico
FUROSEMIDA 40 mg,FUROSEMIDA,Furosemida
ACIDO ACETILSALICILICO COMP C/100MG,ACIDO ACETILSALICILICO <200MG,Ácido Acetilsalicílico
CiclosPORINA 25mg Cap,CiclosPORINA,Ciclosporina
N.P. - ESCITALOPRAM 10MG CP,ESCitalopram,Escitalopram
GLUTAMINA 5G - SACHÊ,GLUTAMINA,Glutamina
MALEATO DE ENALAPRIL 5 MILIGRAMAS (COMPRIMIDO),ENALAPRIL MALEATO,Enalapril
"Diluição MORFINA em CLORETO SODIO 0,9% 100ML (CONTINUO)",SULFATO DE MORFINA,Morfina
RPA METOCLOPRAMIDA 5MG/ML AMP.2ML(PLASIL) IV (ADULTO),METOCLOPRAMIDA,Metoclopramida
DIPIRONA 1000MG/2ML AMP,DipiRONA,Dipirona
SOROTERAPIA - GLICOSE 5% 500ML FR,SOLUCAO DE GLICOSE (SORO GLICOSADO),Glicose
"Dutasterida 0,5mg/mL + Tansulosina 0,4 mg/mL Sol oral 60mL (Não Padrão)",TANSULOSINA + DUTASTERIDA,"Dutasterida, Tansulosina"
"AMICACINA, SULFATO 50MG/ML AMP 2ML",AMICACINA ,Amicacina
CISATRACURIO 10MG/5ML EV PED (MEDICAMENTO DE RISCO),CISATRACURIO,Cisatracurio
Tranexâmico Ácido 250mg Cp.,ACIDO TRANEXAMICO,Ácido Tranexâmico
MC: LEVETIRACETAM  10 ,LEVETIRACETAM,Levetiracetam
HidroCLOROtiazida - comprimido 25 mg,HIDROCLOROTIAZIDA,Hidroclorotiazida
Persantin 10mg/2ml Ampola 2ml,DIPIRIDAMOL,Dipiridamol
NitroGLICERINA 5MG/ML  5ML SOL.INJ CONCENTRADO - SOLUÇÃO,NitroGLICERINA,Nitroglicerina
SALIVA ARTIFICIAL FRS,SALIVA ARTIFICIAL,Carmelose Sódica
ESPIRONOLACTONA 25MG/ 5ML-100 ML,ESPIRONOLACTONA,Espironolactona
"Rivotril 0,5 mg comp (RQ) (Port344/98)",CLONAZEPAM,Clonazepam
"Pirimetamina, Cloridrato de 25mg Cpr",PIRIMETAMINA,Pirimetamina
Cálcio MDK,CARBONATO DE CALCIO+OXIDO DE MAGNESIO + MALTODEXTRINA + MENAQUINONA-7 (VITAMINA K2) + COLECALCIFEROL (VITAMINA D3) + ANTIUMECTANTE CELULOSE MICROCRISTALINA + ESTABILIZANTE CROSCARMELOSE SODICA + LUBRIFICANTE ESTEARATO DE MAGNESIO + DIOXIDO DE SILICIO,Cálcio
CRANBERRY 1 mg,CRANBERRY (CRANBERRIES),Cranberry
Tramadol 100mg Amp 2mL (50mg/mL),TRAMADOL CLORIDRATO,Tramadol
"Bexsero Susp inj 0,5mL",VACINA ADSORVIDA MENINGOCOCICA B (RECOMBINANTE),Meningococo B (recombinante)
TRASTUZUMABE ENTANSINA 20MG/ML,TRASTUZUMABE,Trastuzumabe Entansina
"SOLUCAO CLORETO DE SODIO 0,9% 1000ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio
LUITEINA 10 mg + ZEAXANTINA 2 mg,LUTEINA + ZEAXANTINA ,"Luteína, Zeaxantina"
Diosmina+Hesperidina 50 mg/450 mg comp,DIOSMINA + HESPERIDINA,"Diosmina, Hesperidina"
NITAZOXANIDA 20MG/1ML SUSPENSAO,NITAZOXANIDA,Nitazoxanida
"cloNIDina 0,1MG OU 100 MICROGRAMAS (ATENSINA)",CLONIDINA,Clonidina
CLORETO DE SODIO 0.9% - FRASCO 1000ML,"CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio
CefTAZidima 1G +  AD 10ML  EV BI/BS - CARDIOPED,CEFTAZIDIMA,Ceftazidima
MESNA 400MG/4ML AMP 4ML - PRIMEIRA DOSE,MESNA,Mesna
"Haloperidol 5 mg/1 ml, amp 5mg/ml",HaloPERidol,Haloperidol
PEMBROLIZUMABE,PEMBROLIZUMABE,Pembrolizumabe
"AloPURinol 100mg, comprimido (ORAL)",AloPURinol,Alopurinol
CLORETO DE SODIO 0.9% - AMP 10ML,"CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sodio
SEROQUEL 100MG CP,QUEtiapina,Quetiapina
Stugeron Comprimido 25mg,CINARIZINA,Cinarizina
HIDRALYTE 45 LARANJA 500ML FR NATULAB,CLORETO DE SODIO + CITRATO DE SODIO DIIDRATADO + GLICOSE + CITRATO DE POTÁSSIO MONOIDRATADO,Hidrato de Sódio
Cinarizina 25mg,CINARIZINA,Cinarizina
METOCLOPRAMIDA+SIMETICONA+PANCREAT.+PEPS. CPR,METOCLOPRAMIDA + SIMETICONA + PANCREATINA + PEPSINA,"Metoclopramida, Simeticona, Pancreatina, Pepsina"
DOCEtaxel SOLUCAO INJETAVEL PRONTA PARA USO 20MG/ML 6ML##,DOCETAXEL,Docetaxel
"TERBUTALINA  0,5MG/ML AMPOLA 1ML",TERBUTALINA,Terbutalina
SUFentanila 50MCG/ML 1ML SOL.INJ,SUFENTANILA,Sufentanila
ACIDO FOLINICO 10MG/ML ENDOVENOSO,FOLINATO DE CALCIO (ACIDO FOLINICO),Ácido folínico
"BUpivacaina 0,5% s/v - 20mL",BUPIVACAINA,Bupivacaína
DENOSUMABE 60MG/ML 1ML SOL.INJ - QT,DENOSUMABE,Denosumabe
LevoTIROXina 88mcg Comprimido,LevoTIROXina,Levotiroxina
FERRONIL 40MG COMPRIMIDO,SULFATO FERROSO,Ferro
MC: RIVAROXABANA 1 ,RIVAROXABANA,Rivaroxabana
"(Do paciente ) Valsartana 80 mg + Hidroclorotiazida 12,5 mg cp",VALSARTANA +HIDROCLOROTIAZIDA,"Valsartana, Hidroclorotiazida"
MC: RIVAROXABANA,RIVAROXABANA,Rivaroxabana
NiFEDipina AÇÃO RETARDADA 20 mg,NIFEDIPINO,Nifedipina
Alfaepoetina 10.000UI/mL Ser,ALFAEPOETINA (ERITROPOETINA),Alfaepoetina
Clopidogrel 75 mg  cp,CLOPIDOGREL,Clopidogrel
CicloFOSFAMida 50MG CPR,ciclofosfamida,Ciclofosfamida
MC: SOMALGIN 01CP ,ACIDO ACETILSALICILICO <200MG,Ácido acetilsalicílico
MESNA 400MG/4ML AMP 4ML - TERCEIRA DOSE,MESNA,Mesna
CIANOCOBOLAMINA (VIT B12) 1000MCG SOL INJ - AMP 1ML OU 2ML,CIANOCOBALAMINA (VITAMINA B12),Cianocobalamina
Benzetacil 1200.000 10 Fr,BENZILPENICILINA BENZATINA,Benzilpenicilina benzatina
"DIMENIDRATO 30MG,PIRIDOXINA 50MG DL 10ML-PED",DIMENIDRINATO + PIRIDOXINA(B6),"Dimenidrinato, Pridoxina"
TACROLIMO 1MG CAPS (CEAF),TACROLIMO,Tacrolimo
Biperideno 5mg inj. amp. 1mL,BIPERIDENO,Biperideno
ANLODIPINA 5 MG CMP,ANLODIPINO,Amlodipina
Água Para Injetáveis - 500 mL,AGUA PARA INJECAO,Água
BACLOFENO 10 mg,BACLOFENO,Baclofeno
"SUPLEM. VITAMINICO (A, B1, B2, B5, B8, C, D, E) - SOL. ORAL",POLIVITAMINICO,"Vitaminas A, B1, B2, B5, B8, C, D, E"
BECLOMETASONA 250MCG SPRAY,beclometasona,Beclometasona
Plenance EZE 20/10mg Cap (Não Padrão),EZETIMIBA + ROSUVASTATINA,Ezetimiba
"Nilperidol 0,05mg + 2,5mg/ml Ampola 2ml",FENTANILA + DROPERIDOL,Haloperidol
LEVOMEPROMAZINA SOL ORAL 40MG/ML FR 20ML,LEVOMEPROMAZINA (METOTRIMEPRAZINA),Levomepromazina
LAMOTRIGINA 100MG - COMPRIMIDO,LAMOTRIGINA,Lamotrigina
Actonel Comprimido Revestido 150mg,RISEDRONATO,Risedronato Sódico
DOXOrrubicina 50mg Fr/amp,DOXORRUBICINA  CLORIDRATO,Doxorrubicina
Ceftazidima + Avibactam (2g + 500mg) Fa.,CEFTAZIDIMA + AVIBACTAM,"Ceftazidima, Avibactam"
Escopolamina 1mg Adesivo (Não Padrão),ESCOPOLAMINA (HIOSCINA),Escopolamina
Clortalidona 25mg Cp,CLORTALIDONA,Clortalidona
Fosfato de sodio monobasico + fosfato de sodio dibasico Sol.retal  Fr 130 mL (RQ),FOSFATO DE SODIO MONOBASICO MONOIDRATADO + FOSFATO DE SODIO DIBASICO HEPTAIDRATADO (RETAL),"Fosfato de sódio monobásico, Fosfato de sódio dibásico"
BIPERIDENO 2MG - CP,BIPERIDENO,Biperideno
ELIQUIS 5 MG COMPRIMIDO,APIXABANA,Apixabana
IMUNOGLOBULINA HUMANA 50MG/ML (5%) FR 100ML,IMUNOGLOBULINA HUMANA,Imunoglobulina Humana
"Dexametasona 4mg/mL Injetável c/ 2,5mL",DEXAMETASONA,Dexametasona
Somalgin Cardio 325 Mg Cp.,ACIDO  ACETILSALICILICO + GLICINATO DE ALUMINIO +  CARBONATO DE MAGNESIO                                              ,Ácido Acetilsalicílico
TOPIRAMATO 25MG COMP REVESTIDO,TOPIRAMATO,Topiramato
[ N.P] CLORETO DE SODIO SOL INJ 20% AMP 10ML (MAV),"CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio
Avamys spray 1 frasco com 120 doses,FLUTICASONA,Fluticasona furoato
CEFTRIAXONA SODICA 1G (FRASCO AMPOLA) SC,CefTRIAXona,Ceftriaxona
MEDICAMENTO NAO PADRAO,MEDICAMENTO NAO PADRONIZADO,"Desculpe, mas não consigo fornecer a substância ativa para ""MEDICAMENTO NAO PADRAO"" porque isso não parece ser o nome de um medicamento específico. Por favor, forneça o nome correto do medicamento."
Budesonida 400 mcg caps c/inalador,BUDESONIDA,Budesonida
VANCOMICINA 500MG FR AMP - UTIN,VANCOMICINA CLORIDRATO,Vancomicina
FENITAL 50MG/ML-5ML AMP IV-FENITOINA,FENITOINA,Fenitoína
Oseltamivir 30mg Cap,OSELTAMIVIR,Oseltamivir
Adenosina 3mg/mL inj. ampola c/ 2mL,ADENOSINA,Adenosina
PANTOPRAZOL SODICO SESQUI-HIDRATADO 20 mg,PANTOPRAZOL,Pantoprazol
CefaLOTina 1G + AD 10ML - EV - NEO,Cefalotina,Cefalotina
"Carvedilol 3,125mg Cp",CarVEDilol,Carvedilol
CAPECITABINA 500MG CP REV,CAPECITABINA,Capecitabina
Lidocaína 1% s/ vasoconstritor inj. frasco-ampola c/ 20mL,LIDOCAINA CLORIDRATO,Lidocaína
ATORVASTATINA 3 mg + EZETIMIBA 5 mg,ATORVASTATINA + EZETIMIBA,"Atorvastatina, Ezetimiba"
Tisseel Lyo - Kit 2ml ,FIBRINOGENIO+APROTININA+TROMBINA (TOPICO),Fibrinogênio e Trombina
Telmisartana 40mg Cp,TELMISARTANA,Telmisartana
AMPICILINA 1G - Infantil,AMPICILINA,Ampicilina
[MPP] VOLARE (ENOXAPARINA) 80MG,ENOXAPARINA SODICA,Enoxaparina
TRAStuzumabe DERUXTECANA 100mg Inj,TRASTUZUMABE,Trastuzumabe Deruxtecano
PROMETAZINA 25 MG COMPRIMIDO,PROMETAZINA,Prometazina
"Hioscina 20mg + dipirona 2,5g/5ml, amp",ESCOPOLAMINA + DIPIRONA,"Hioscina, Dipirona"
MACROGOL+ASSOCIACOES ENVELOPE SABOR LIMAO 14G,MACROGOL+BICARBONATO DE SODIO+CLORETO DE POTASSIO + CLORETO DE SODIO,Macrogol
REGORAFENIBE 40MG VO QT,REGORAFENIBE,Regorafenibe
Nitrato de Prata 1% Colirio 3ml,NITRATO DE PRATA (OFTALMICO),Nitrato de Prata
AMICACINA 500MG/2ML - AMP,AMICACINA ,Amicacina
TIAMINA CLORIDRATO 100MG/ML   1ML,TIAMINA (VITAMINA B1),Cloridrato de Tiamina
"Gestinol 0,075mg/0,03mg Drágea",GESTODENO + ETINILESTRADIOL,Etonogestrel e Etinilestradiol
VALAciclovir 500mg Cp rev,VALACICLOVIR,Valaciclovir
MESALAZINA 2 g,MESALAZINA,Mesalazina
"CarVEDilol COMPRIMIDO 3,125MG",CarVEDilol,Carvedilol
Nitrato De Isoconazol 10mg/g + Valerato De Diflucortolona 1mg/g  Bisnaga 30g,NITRATO DE ISOCONAZOL + VALERATO DE DIFLUCORTOLONA (TOPICO),"Isoconazol, Diflucortolona"
ACLASTA 5MG/100ML 1 FRASCO,ACIDO ZOLEDRONICO,Ácido zoledrônico
LIDOCAINA 25MG+PRILOCAINA 25MG CREME,LIDOCAINA + PRILOCAINA (TOPICO),"Lidocaína, Prilocaína"
Hidroxietilamido + Cloreto De Sódio 6% Inj. Frasco C/ 500ml (voluven)*,HIDROXIETILAMIDO + CLORETO DE SODIO,Hidroxietilamido + Cloreto de Sódio
TRAStuzumabe 150MG - BI (MEDICAMENTO DE RISCO),TRASTUZUMABE,Trastuzumabe
Estudo Garden - Glenzocimabe/Placebo Frasco-Ampola (Pesquisa Clínica),GLENZOCIMABE,Glenzocimabe
DIAzepam 5mg Comprimido,DIAZEPAM,Diazepam
Puran T4 (levotiroxina) 25mcg Comprimido,LevoTIROXina,Levotiroxina
"Isossorbida, Monon 10mg/ml  Ampola 1ml",ISOSSORBIDA,Isossorbida Mononitrato
Tiossulfato de sódio 4% Inj 2mL,TIOSSULFATO DE SODIO,Tiossulfato de sódio
"Bicarbonato de sodio 8,4% 10 mL (84 mg/mL) 1 meq = 84 mg amp",BICARBONATO DE SODIO,Bicarbonato de sódio
"Bicarbonato de Sodio 8,4% solucao 84 mg/mL frasco 250 mL",BICARBONATO DE SODIO,Bicarbonato de Sódio
SERTRALINA 100MG,SERTRALINA CLORIDRATO,Sertralina
"Amicacina  250mg/mL 2mL, ampola (IM, IV)",AMICACINA ,Amicacina
PASTA D'AGUA+MENTOL E CANFORA 150G,PASTA D'AGUA + MENTOL E CANFORA,Mentol e Cânfora
DIMENIDRINATO+PIRIDOXINA CLORIDRATO  50+50MG 1ML IM,DIMENIDRINATO + PIRIDOXINA(B6),"Dimenidrinato, Piridoxina Cloridrato"
INSULINA HUMANA NPH 100UI/ML FAM,INSULINA HUMANA NPH,Insulina Humana NPH
RIFAMP 75MG + ISONIAZ 50MG + PIRAZ 150MG - CP ORODISPERSIVEL,ETAMBUTOL + ISONIAZIDA + PIRAZINAMIDA + RIFAMPICINA,Rifampicina + Isoniazida + Pirazinamida
OXcarbazepina 60mg/mL Susp Oral - Trileptal,OXCARBAZEPINA,Oxcarbazepina
FLUCONAZOL CAPSULA C/100MG,FLUCONAZOL,Fluconazol
GENTAMICINA 80 MG AMP 2 ML,GENTAMICINA,Gentamicina
NOREPinefrina 1MG/ML- EV- BS - PED (MEDICAMENTO DE RISCO),NOREPINEFRINA (NORADRENALINA),Norepinefrina
Paracetamol 500mg Comprimido,PARACETAMOL  (ACETAMINOFEM),Paracetamol
LEVOFLOXACINA 500MG/100ML - EV - PED,LEVOFLOXACINO,Levofloxacina
Tridil 50 mg/10 mL amp (5 mg/mL) (RQ) (MPP),NitroGLICERINA,Nitroglicerina
"HEMITARTARATO DE RIVASTIGMINA 9,5 mg",RIVASTIGMINA,Rivastigmina
LORazepam 1 mg Cp.,LORAZEPAM,Lorazepam
LIDOCAINA 10% SOL. SPRAY TOPICO FR 50ML,LIDOCAINA (TOPICO),Lidocaína
HIDROXIDO MAGNESIO SUSPENSAO,HIDROXIDO DE MAGNESIO,Hidróxido de Magnésio
Prednisona 20mg Cp.,PredniSONA,Prednisona
SULFATO DE MAGNESIO 10% 10ML (MED. ALTO RISCO),SULFATO DE MAGNESIO,Sulfato de Magnésio
PALBOCICLIBE 125MG CAP  - QT,Palbociclibe,Palbociclibe
FINASTERIDA 5MG CP,FINASTERIDA,Finasterida
"Metoprolol, Succinato 50mg Cp Rev Lib Prolongada",METOPROLOL SUCCINATO,Metoprolol
CLORPROMAZINA 5MG/ML AMP 5 ML,ClorproMAZINA,Clorpromazina
"RIVOTRIL 0,5MG - CP",CLONAZEPAM,Clonazepam
Linezolida 600 mg  bolsa 300 ml,LINEZOLIDA,Linezolida
ANESTALCON - COLIRIO,PROXIMETACAINA (OFTALMICO),Cloridrato de Nafazolina + Maleato de Feniramina
MEROpenem 1G ,MEROPENEM,Meropenem
BISSULFATO DE CLOPIDOGREL 75 mg,CLOPIDOGREL,Clopidogrel
ACIDO TRANEXAMICO 250MG 5ML AMPOLA,ACIDO TRANEXAMICO,Ácido Tranexâmico
QUEtiapina 100 mg comprimido revestido,QUEtiapina,Quetiapina
Clozapina 100mg cp.,Clozapina,Clozapina
NiFEDipina 10mg cp,NIFEDIPINO,Nifedipina
"Cloreto De Sódio 0,9% 100ml | Solução Injetável","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio
Lenalidomida 15mg Cap (Med. Controlado),LENALIDOMIDA,Lenalidomida
INDOMETACINA 25MG CAPSULA,INDOMETACINA,Indometacina
FENITOÍNA 100MG - COMPRIMIDO,FENITOINA,Fenitoína
Votrient 400mg Comprimido Revestido,PAZOPANIBE,Pazopanibe
NISULID 50MG/ML 15ML (300GOTAS) FR,Nimesulida,Nimesulida
Sugamadex 100mg/ml Amp 2ml,SUGAMADEX,Sugamadex
PAROXETINA 20MG (NAO PADRONIZADO),PAROXETINA,Paroxetina
Menelat 30mg Cp rev (Med. Controlado) (Não Padrão),MIRTAZAPINA,Mirtazapina
Cetoprofeno IV 100 mg  FA,CETOPROFENO,Cetoprofeno
MC: BISOPROLOL 5MG ,BISOPROLOL,Bisoprolol
Prednisona 5mg Cp. *,PredniSONA,Prednisona
PARACETAMOL 750MG - COMPRIMIDO,PARACETAMOL  (ACETAMINOFEM),Paracetamol
TRAMAL 50MG/ML AMP 1ML,TRAMADOL CLORIDRATO,Tramadol
"PAMIDRONATO DISSODICO 90MG + SF0,9% 250ML",PAMIDRONATO (ACIDO PAMIDRONICO),Pamidronato Dissódico
QUIMIOTERAPIA - BUSCOPAN COMPOSTO 5ML AMPOLA EV,ESCOPOLAMINA + DIPIRONA,Butilbrometo de escopolamina + dipirona sódica
Omeprazol 40mg Inj. ,OMEPRAZOL,Omeprazol
Metoprolol Tartarato 100mg Cp. Rev.,METOPROLOL TARTARATO,Metoprolol
Nivolumabe 10 mg/mL solucao 10 mL (100 mg/frasco-ampola ) ,NIVOLUMABE,Nivolumabe
CeFAZolina PO LIOFILO INJETAVEL 1G,CeFAZolina,Cefazolina
MetoTREXATO SOLUCAO INJETAVEL 100MG/ML 50ML##®,METOTREXATO,Metotrexato
ANTIRRABICO (SAR),IMUNOGLOBULINA ANTIRRABICA,Vírus rábico inativado
"Vick 44E (1,3+13,3)mg/mL Xpe 240mL (Não Padrão)",GUAIFENESINA + DEXTROMETORFANO,Dextrometorfano
ESCOPOLAMINA + DIPIRONA 5ML AMP,ESCOPOLAMINA + DIPIRONA,"Escopolamina, Dipirona"
Neozine 100 Mg Cp.,LEVOMEPROMAZINA (METOTRIMEPRAZINA),Levomepromazina
Apresolina 25mg Drg. ,HidrALAZINA,Hidralazina
Dorzolamida 20mg/ml + Timolol 5mg/ml Solução Oftálmica Frasco 5ml,DORZOLAMIDA + TIMOLOL (OFTALMICO),"Dorzolamida, Timolol"
Bactrin 400/80mg amp 5 ml (Sulfametoxazol 400 mg + Trimetoprima 80 mg),SULFAMETOXAZOL+TRIMETOPRIMA,Sulfametoxazol + Trimetoprima
MIRABEGRONA 50 mg,MIRABEGRONA,Mirabegrona
IMIPRAMINA 25MG COMPRIMIDO,IMIPRAMINA,Imipramina
VASopressina 20U Amp 1mL - Encrise,Vasopressina,Vasopressina
"Isossorbida, Mononitrato de 20mg CPR",ISOSSORBIDA,Mononitrato de Isossorbida
DOBUTAMINA 250MG/20ML - DILUIDO EM SF (MPP) - (UTIN),Dobutamina,Dobutamina
Acetato De Clostebol 5mg/g + Sulfato De Neomicina 5mg/g Creme Dermatológico 30g,CLOSTEBOL + NEOMICINA (TOPICO),"Acetato de Clostebol, Sulfato de Neomicina"
HIPO HIDRATAÇÃO FISIOLÓGICA 500ML,"CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio
MC: CECLOR BD 500MG ,ACIDO ASCORBICO (VITAMINA C),Cefaclor
"PELARGONIUM SIDOIDES 307,39 mg/ml",PELARGONIUM SIDOIDES,Pelargonium Sidoides
AGUA OXIGENADA 10 VOL ALMOTOLIA,AGUA OXIGENADA,Peróxido de Hidrogênio
"Tecnomet 2,5mg Cpr.",METOTREXATO,Metformina
Bilyt 300mg Cp (Med. Controlado) (Não Padrão),CARBONATO DE LITIO,Bicalutamida
CEFADROXILA CAP 500MG,cefadroxila,Cefadroxila
TIOPENTAL 1G - FR-AMP,TIOPENTAL,Tiopental
LANSOPRAZOL CAPSULA,LANSOPRAZOL,Lansoprazol
"Alphagan P 0,15% 1,5mg/mL Sol oftálmica 5mL (Não Padrão)",BRIMONIDINA (OFTALMICO),Brimonidina
OXACILINA SÓDICA 500MG – PÓ LIOFILIZADO - FRASCO-AMPOLA,OXACILINA SODICA,Oxacilina Sódica
"Ampicilina + Sulbactam 1g + 0,5g  Po Liofizado frasco-ampola",AMPICILINA SODICA + SULBACTAM,Ampicilina + Sulbactam
SOROTERAPIA - AGUA BIDESTILADA SOL INJ FR 500ML,AGUA DESTILADA,Água Bidestilada
Micofenolato de mofetila 50mg (NÃO PADRONIZADO),MICOFENOLATO MOFETIL,Micofenolato de mofetila
HUMULIN REG 100UI/ML-10ML FR/AMP SC/IV/IM-INSULINA HUMANA,INSULINA REGULAR,Insulina Humana
FUROSEMIDA SOLUCAO 10MG/ML 100ML,FUROSEMIDA,Furosemida
CISATRACÚRIO 2MG/ML 5ML,CISATRACURIO,Cisatracúrio
"Oxacilina 500mg, injetável",OXACILINA SODICA,Oxacilina
Dolutegravir 5mg cp. revestido,DOLUTEGRAVIR,Dolutegravir
Simeticona 75mg/mL Gts ,SIMETICONA,Simeticona
"CLONAZEPAM 2,5MG/ML",CLONAZEPAM,Clonazepam
FENOFIBRATO 250MG CPR,FENOFIBRATO,Fenofibrato
MitoXANtrona 20mg Inj.,MITOXANTRONA,MitoXANtrona
Fluconazol 200mg (2mg/ml) Bolsa 100ml - Halex Istar,FLUCONAZOL,Fluconazol
SUCCINATO SODICO DE HIDROCORTISONA 500MG (AMPOLA),HIDROCORTISONA SUCCINATO SODICO,Hidrocortisona
Alteplase 50mg Injetavel,ALTEPLASE,Alteplase
sulfato FERROSO (60MG DE FERRO ELEMENTAR),SULFATO FERROSO,Ferro
AMIODARONA 150MG/3ML AMP (DOSE DE MANUTENCAO),AMIODARONA,Amiodarona
DipiRONA SOLUCAO INJETAVEL 500MG/ML 2ML,DipiRONA,Dipirona
Módulo Lactopró - Probiatop Sachê 1 G ( Lactobacillus ),LACTOBACILLUS PARACASEI + LACTOBACILLUS RHAMNOSUS + LACTOBACILLUS ACIDOPHILUS + BIFIDOBACTERIUM LACTIS,Lactobacillus
PREGABALINA 75MG CPR,PREGABALINA,Pregabalina
PRAVASTATINA 10 mg,PRAVASTATINA,Pravastatina
IBUPROFENO 50MG/ML SOL ORAL FR 30ML (ALIVIUM),IBUPROFENO,Ibuprofeno
AMOXICILINA+CLAVULANATO 500 + 125 MG COMPRIMIDO,AMOXICILINA + CLAVULANATO POTASSIO,Amoxicilina + Clavulanato
Topiramato 50mg cp,TOPIRAMATO,Topiramato
CETILPERIDINO 25MG/ML SOLUCAO COLUTORIA DOSE 10 ML,CLORETO DE CETILPIRIDINIO,Cetilpiridínio
"Onicit NVPO 0,075mg/1,5mL Sol inj",PALONOSETRONA,Palonosetron
AGUA BIDESTILADA FRASCO C/ 1000ML,AGUA DESTILADA,Água
CETUXimabe 5mg/mL,CETUXIMABE,Cetuximabe
VORICONAZOL 200MG,VORICONAZOL,Voriconazol
LEVOMEPROMAZINA COMPRIMIDOS,LEVOMEPROMAZINA (METOTRIMEPRAZINA),Levomepromazina
FLUoxetina 20 MG COMPRIMIDO,FLUOXETINA,Fluoxetina
