medicamento,llm_response,input_tokens,output_tokens
"Haloperidol 5 mg/1 ml, amp 5mg/ml",Haloperidol,121,4
PEMBROLIZUMABE,Pembrolizumabe,112,6
"AloPURinol 100mg, comprimido (ORAL)",Alopurinol,120,5
CLORETO DE SODIO 0.9% - AMP 10ML,Cloreto de Sodio,123,7
SEROQUEL 100MG CP,Quetiapina,113,4
Stugeron Comprimido 25mg,Cinarizina,114,4
HIDRALYTE 45 LARANJA 500ML FR NATULAB,Hidrato de Sódio,121,8
Cinarizina 25mg,Cinarizina,112,4
METOCLOPRAMIDA+SIMETICONA+PANCREAT.+PEPS. CPR,"Metoclopramida, Simeticona, Pancreatina, Pepsina",126,19
DOCEtaxel SOLUCAO INJETAVEL PRONTA PARA USO 20MG/ML 6ML##,Docetaxel,133,4
"TERBUTALINA  0,5MG/ML AMPOLA 1ML",Terbutalina,123,4
SUFentanila 50MCG/ML 1ML SOL.INJ,Sufentanila,122,5
ACIDO FOLINICO 10MG/ML ENDOVENOSO,Ácido folínico,121,5
"BUpivacaina 0,5% s/v - 20mL",Bupivacaína,122,6
DENOSUMABE 60MG/ML 1ML SOL.INJ - QT,Denosumabe,123,4
LevoTIROXina 88mcg Comprimido,Levotiroxina,118,6
FERRONIL 40MG COMPRIMIDO,Ferro,116,2
MC: RIVAROXABANA 1 ,Rivaroxabana,116,5
"(Do paciente ) Valsartana 80 mg + Hidroclorotiazida 12,5 mg cp","Valsartana, Hidroclorotiazida",131,12
MC: RIVAROXABANA,Rivaroxabana,113,5
NiFEDipina AÇÃO RETARDADA 20 mg,Nifedipina,118,5
Alfaepoetina 10.000UI/mL Ser,Alfaepoetina,118,6
Clopidogrel 75 mg  cp,Clopidogrel,114,4
CicloFOSFAMida 50MG CPR,Ciclofosfamida,116,7
MC: SOMALGIN 01CP ,Ácido acetilsalicílico,114,7
MESNA 400MG/4ML AMP 4ML - TERCEIRA DOSE,Mesna,123,2
CIANOCOBOLAMINA (VIT B12) 1000MCG SOL INJ - AMP 1ML OU 2ML,Cianocobalamina,135,6
Benzetacil 1200.000 10 Fr,Benzilpenicilina benzatina,117,10
"DIMENIDRATO 30MG,PIRIDOXINA 50MG DL 10ML-PED","Dimenidrinato, Pridoxina",127,10
TACROLIMO 1MG CAPS (CEAF),Tacrolimo,118,3
Biperideno 5mg inj. amp. 1mL,Biperideno,120,4
ANLODIPINA 5 MG CMP,Amlodipina,114,5
Água Para Injetáveis - 500 mL,Água,115,2
BACLOFENO 10 mg,Baclofeno,113,5
"SUPLEM. VITAMINICO (A, B1, B2, B5, B8, C, D, E) - SOL. ORAL","Vitaminas A, B1, B2, B5, B8, C, D, E",139,22
BECLOMETASONA 250MCG SPRAY,Beclometasona,117,5
Plenance EZE 20/10mg Cap (Não Padrão),Ezetimiba,121,4
"Nilperidol 0,05mg + 2,5mg/ml Ampola 2ml",Haloperidol,126,4
LEVOMEPROMAZINA SOL ORAL 40MG/ML FR 20ML,Levomepromazina,123,6
LAMOTRIGINA 100MG - COMPRIMIDO,Lamotrigina,119,5
Actonel Comprimido Revestido 150mg,Risedronato Sódico,117,7
DOXOrrubicina 50mg Fr/amp,Doxorrubicina,117,5
Ceftazidima + Avibactam (2g + 500mg) Fa.,"Ceftazidima, Avibactam",125,10
Escopolamina 1mg Adesivo (Não Padrão),Escopolamina,120,3
Clortalidona 25mg Cp,Clortalidona,113,4
Fosfato de sodio monobasico + fosfato de sodio dibasico Sol.retal  Fr 130 mL (RQ),"Fosfato de sódio monobásico, Fosfato de sódio dibásico",138,24
BIPERIDENO 2MG - CP,Biperideno,115,4
ELIQUIS 5 MG COMPRIMIDO,Apixabana,116,4
IMUNOGLOBULINA HUMANA 50MG/ML (5%) FR 100ML,Imunoglobulina Humana,126,7
"Dexametasona 4mg/mL Injetável c/ 2,5mL",Dexametasona,125,5
Somalgin Cardio 325 Mg Cp.,Ácido Acetilsalicílico,114,8
TOPIRAMATO 25MG COMP REVESTIDO,Topiramato,116,3
[ N.P] CLORETO DE SODIO SOL INJ 20% AMP 10ML (MAV),Cloreto de Sódio,131,7
Avamys spray 1 frasco com 120 doses,Fluticasona furoato,117,8
CEFTRIAXONA SODICA 1G (FRASCO AMPOLA) SC,Ceftriaxona,125,6
MEDICAMENTO NAO PADRAO,"Desculpe, mas não consigo fornecer a substância ativa para ""MEDICAMENTO NAO PADRAO"" porque isso não parece ser o nome de um medicamento específico. Por favor, forneça o nome correto do medicamento.",114,55
Budesonida 400 mcg caps c/inalador,Budesonida,118,4
VANCOMICINA 500MG FR AMP - UTIN,Vancomicina,117,3
FENITAL 50MG/ML-5ML AMP IV-FENITOINA,Fenitoína,122,5
Oseltamivir 30mg Cap,Oseltamivir,114,5
Adenosina 3mg/mL inj. ampola c/ 2mL,Adenosina,122,3
PANTOPRAZOL SODICO SESQUI-HIDRATADO 20 mg,Pantoprazol,124,5
CefaLOTina 1G + AD 10ML - EV - NEO,Cefalotina,121,5
"Carvedilol 3,125mg Cp",Carvedilol,115,4
CAPECITABINA 500MG CP REV,Capecitabina,115,5
Lidocaína 1% s/ vasoconstritor inj. frasco-ampola c/ 20mL,Lidocaína,132,5
ATORVASTATINA 3 mg + EZETIMIBA 5 mg,"Atorvastatina, Ezetimiba",123,11
Tisseel Lyo - Kit 2ml ,Fibrinogênio e Trombina,116,10
Telmisartana 40mg Cp,Telmisartana,113,5
AMPICILINA 1G - Infantil,Ampicilina,115,5
[MPP] VOLARE (ENOXAPARINA) 80MG,Enoxaparina,121,5
TRAStuzumabe DERUXTECANA 100mg Inj,Trastuzumabe Deruxtecano,121,9
PROMETAZINA 25 MG COMPRIMIDO,Prometazina,116,4
"Hioscina 20mg + dipirona 2,5g/5ml, amp","Hioscina, Dipirona",126,8
MACROGOL+ASSOCIACOES ENVELOPE SABOR LIMAO 14G,Macrogol,127,3
REGORAFENIBE 40MG VO QT,Regorafenibe,115,4
Nitrato de Prata 1% Colirio 3ml,Nitrato de Prata,120,6
AMICACINA 500MG/2ML - AMP,Amicacina,117,4
TIAMINA CLORIDRATO 100MG/ML   1ML,Cloridrato de Tiamina,122,9
"Gestinol 0,075mg/0,03mg Drágea",Etonogestrel e Etinilestradiol,122,12
VALAciclovir 500mg Cp rev,Valaciclovir,115,4
MESALAZINA 2 g,Mesalazina,112,4
"CarVEDilol COMPRIMIDO 3,125MG",Carvedilol,118,4
Nitrato De Isoconazol 10mg/g + Valerato De Diflucortolona 1mg/g  Bisnaga 30g,"Isoconazol, Diflucortolona",140,12
ACLASTA 5MG/100ML 1 FRASCO,Ácido zoledrônico,119,7
LIDOCAINA 25MG+PRILOCAINA 25MG CREME,"Lidocaína, Prilocaína",122,11
Hidroxietilamido + Cloreto De Sódio 6% Inj. Frasco C/ 500ml (voluven)*,Hidroxietilamido + Cloreto de Sódio,138,15
TRAStuzumabe 150MG - BI (MEDICAMENTO DE RISCO),Trastuzumabe,125,5
Estudo Garden - Glenzocimabe/Placebo Frasco-Ampola (Pesquisa Clínica),Glenzocimabe,129,6
DIAzepam 5mg Comprimido,Diazepam,115,3
Puran T4 (levotiroxina) 25mcg Comprimido,Levotiroxina,123,6
"Isossorbida, Monon 10mg/ml  Ampola 1ml",Isossorbida Mononitrato,122,8
Tiossulfato de sódio 4% Inj 2mL,Tiossulfato de sódio,123,9
"Bicarbonato de sodio 8,4% 10 mL (84 mg/mL) 1 meq = 84 mg amp",Bicarbonato de sódio,134,8
"Bicarbonato de Sodio 8,4% solucao 84 mg/mL frasco 250 mL",Bicarbonato de Sódio,130,8
SERTRALINA 100MG,Sertralina,112,4
"Amicacina  250mg/mL 2mL, ampola (IM, IV)",Amicacina,126,4
PASTA D'AGUA+MENTOL E CANFORA 150G,Mentol e Cânfora,122,8
DIMENIDRINATO+PIRIDOXINA CLORIDRATO  50+50MG 1ML IM,"Dimenidrinato, Piridoxina Cloridrato",131,15
INSULINA HUMANA NPH 100UI/ML FAM,Insulina Humana NPH,120,7
RIFAMP 75MG + ISONIAZ 50MG + PIRAZ 150MG - CP ORODISPERSIVEL,Rifampicina + Isoniazida + Pirazinamida,135,15
OXcarbazepina 60mg/mL Susp Oral - Trileptal,Oxcarbazepina,122,6
FLUCONAZOL CAPSULA C/100MG,Fluconazol,117,5
GENTAMICINA 80 MG AMP 2 ML,Gentamicina,117,4
NOREPinefrina 1MG/ML- EV- BS - PED (MEDICAMENTO DE RISCO),Norepinefrina,130,5
Paracetamol 500mg Comprimido,Paracetamol,115,4
LEVOFLOXACINA 500MG/100ML - EV - PED,Levofloxacina,122,6
Tridil 50 mg/10 mL amp (5 mg/mL) (RQ) (MPP),Nitroglicerina,128,4
"HEMITARTARATO DE RIVASTIGMINA 9,5 mg",Rivastigmina,123,5
LORazepam 1 mg Cp.,Lorazepam,114,4
LIDOCAINA 10% SOL. SPRAY TOPICO FR 50ML,Lidocaína,122,5
HIDROXIDO MAGNESIO SUSPENSAO,Hidróxido de Magnésio,117,9
Prednisona 20mg Cp.,Prednisona,114,4
SULFATO DE MAGNESIO 10% 10ML (MED. ALTO RISCO),Sulfato de Magnésio,127,7
PALBOCICLIBE 125MG CAP  - QT,Palbociclibe,118,6
FINASTERIDA 5MG CP,Finasterida,112,3
"Metoprolol, Succinato 50mg Cp Rev Lib Prolongada",Metoprolol,123,4
CLORPROMAZINA 5MG/ML AMP 5 ML,Clorpromazina,120,5
"RIVOTRIL 0,5MG - CP",Clonazepam,117,4
Linezolida 600 mg  bolsa 300 ml,Linezolida,118,4
ANESTALCON - COLIRIO,Cloridrato de Nafazolina + Maleato de Feniramina,113,17
MEROpenem 1G ,Meropenem,112,3
BISSULFATO DE CLOPIDOGREL 75 mg,Clopidogrel,119,4
ACIDO TRANEXAMICO 250MG 5ML AMPOLA,Ácido Tranexâmico,119,6
QUEtiapina 100 mg comprimido revestido,Quetiapina,118,4
Clozapina 100mg cp.,Clozapina,113,3
NiFEDipina 10mg cp,Nifedipina,114,5
"Cloreto De Sódio 0,9% 100ml | Solução Injetável",Cloreto de Sódio,126,7
Lenalidomida 15mg Cap (Med. Controlado),Lenalidomida,120,5
INDOMETACINA 25MG CAPSULA,Indometacina,116,4
FENITOÍNA 100MG - COMPRIMIDO,Fenitoína,118,5
Votrient 400mg Comprimido Revestido,Pazopanibe,117,5
NISULID 50MG/ML 15ML (300GOTAS) FR,Nimesulida,124,4
Sugamadex 100mg/ml Amp 2ml,Sugamadex,117,5
PAROXETINA 20MG (NAO PADRONIZADO),Paroxetina,120,4
Menelat 30mg Cp rev (Med. Controlado) (Não Padrão),Mirtazapina,125,5
Cetoprofeno IV 100 mg  FA,Cetoprofeno,116,5
MC: BISOPROLOL 5MG ,Bisoprolol,117,5
Prednisona 5mg Cp. *,Prednisona,115,4
PARACETAMOL 750MG - COMPRIMIDO,Paracetamol,118,4
TRAMAL 50MG/ML AMP 1ML,Tramadol,117,3
"PAMIDRONATO DISSODICO 90MG + SF0,9% 250ML",Pamidronato Dissódico,126,8
QUIMIOTERAPIA - BUSCOPAN COMPOSTO 5ML AMPOLA EV,Butilbrometo de escopolamina + dipirona sódica,126,16
Omeprazol 40mg Inj. ,Omeprazol,117,5
Metoprolol Tartarato 100mg Cp. Rev.,Metoprolol,119,4
Nivolumabe 10 mg/mL solucao 10 mL (100 mg/frasco-ampola ) ,Nivolumabe,129,4
CeFAZolina PO LIOFILO INJETAVEL 1G,Cefazolina,122,4
MetoTREXATO SOLUCAO INJETAVEL 100MG/ML 50ML##®,Metotrexato,130,4
ANTIRRABICO (SAR),Vírus rábico inativado,113,9
"Vick 44E (1,3+13,3)mg/mL Xpe 240mL (Não Padrão)",Dextrometorfano,132,6
ESCOPOLAMINA + DIPIRONA 5ML AMP,"Escopolamina, Dipirona",119,7
Neozine 100 Mg Cp.,Levomepromazina,113,6
Apresolina 25mg Drg. ,Hidralazina,115,5
Dorzolamida 20mg/ml + Timolol 5mg/ml Solução Oftálmica Frasco 5ml,"Dorzolamida, Timolol",134,9
Bactrin 400/80mg amp 5 ml (Sulfametoxazol 400 mg + Trimetoprima 80 mg),Sulfametoxazol + Trimetoprima,138,13
MIRABEGRONA 50 mg,Mirabegrona,114,5
IMIPRAMINA 25MG COMPRIMIDO,Imipramina,116,4
VASopressina 20U Amp 1mL - Encrise,Vasopressina,121,5
"Isossorbida, Mononitrato de 20mg CPR",Mononitrato de Isossorbida,119,9
DOBUTAMINA 250MG/20ML - DILUIDO EM SF (MPP) - (UTIN),Dobutamina,132,4
Acetato De Clostebol 5mg/g + Sulfato De Neomicina 5mg/g Creme Dermatológico 30g,"Acetato de Clostebol, Sulfato de Neomicina",138,16
HIPO HIDRATAÇÃO FISIOLÓGICA 500ML,Cloreto de Sódio,121,7
MC: CECLOR BD 500MG ,Cefaclor,115,4
"PELARGONIUM SIDOIDES 307,39 mg/ml",Pelargonium Sidoides,120,6
AGUA OXIGENADA 10 VOL ALMOTOLIA,Peróxido de Hidrogênio,120,10
"Tecnomet 2,5mg Cpr.",Metformina,115,3
Bilyt 300mg Cp (Med. Controlado) (Não Padrão),Bicalutamida,124,5
CEFADROXILA CAP 500MG,Cefadroxila,115,5
TIOPENTAL 1G - FR-AMP,Tiopental,116,3
LANSOPRAZOL CAPSULA,Lansoprazol,114,5
"Alphagan P 0,15% 1,5mg/mL Sol oftálmica 5mL (Não Padrão)",Brimonidina,135,4
OXACILINA SÓDICA 500MG – PÓ LIOFILIZADO - FRASCO-AMPOLA,Oxacilina Sódica,133,7
"Ampicilina + Sulbactam 1g + 0,5g  Po Liofizado frasco-ampola",Ampicilina + Sulbactam,134,10
SOROTERAPIA - AGUA BIDESTILADA SOL INJ FR 500ML,Água Bidestilada,126,6
Micofenolato de mofetila 50mg (NÃO PADRONIZADO),Micofenolato de mofetila,126,10
HUMULIN REG 100UI/ML-10ML FR/AMP SC/IV/IM-INSULINA HUMANA,Insulina Humana,133,5
FUROSEMIDA SOLUCAO 10MG/ML 100ML,Furosemida,121,4
CISATRACÚRIO 2MG/ML 5ML,Cisatracúrio,120,6
"Oxacilina 500mg, injetável",Oxacilina,116,4
Dolutegravir 5mg cp. revestido,Dolutegravir,118,5
Simeticona 75mg/mL Gts ,Simeticona,116,4
"CLONAZEPAM 2,5MG/ML",Clonazepam,117,4
FENOFIBRATO 250MG CPR,Fenofibrato,115,5
MitoXANtrona 20mg Inj.,MitoXANtrona,117,6
Fluconazol 200mg (2mg/ml) Bolsa 100ml - Halex Istar,Fluconazol,127,5
SUCCINATO SODICO DE HIDROCORTISONA 500MG (AMPOLA),Hidrocortisona,125,6
Alteplase 50mg Injetavel,Alteplase,115,4
sulfato FERROSO (60MG DE FERRO ELEMENTAR),Ferro,121,2
AMIODARONA 150MG/3ML AMP (DOSE DE MANUTENCAO),Amiodarona,126,4
DipiRONA SOLUCAO INJETAVEL 500MG/ML 2ML,Dipirona,126,4
Módulo Lactopró - Probiatop Sachê 1 G ( Lactobacillus ),Lactobacillus,129,5
PREGABALINA 75MG CPR,Pregabalina,114,4
PRAVASTATINA 10 mg,Pravastatina,114,5
IBUPROFENO 50MG/ML SOL ORAL FR 30ML (ALIVIUM),Ibuprofeno,128,5
AMOXICILINA+CLAVULANATO 500 + 125 MG COMPRIMIDO,Amoxicilina + Clavulanato,126,9
Topiramato 50mg cp,Topiramato,112,3
CETILPERIDINO 25MG/ML SOLUCAO COLUTORIA DOSE 10 ML,Cetilpiridínio,127,7
"Onicit NVPO 0,075mg/1,5mL Sol inj",Palonosetron,122,5
AGUA BIDESTILADA FRASCO C/ 1000ML,Água,121,2
CETUXimabe 5mg/mL,Cetuximabe,113,5
VORICONAZOL 200MG,Voriconazol,113,5
LEVOMEPROMAZINA COMPRIMIDOS,Levomepromazina,116,6
FLUoxetina 20 MG COMPRIMIDO,Fluoxetina,117,5
Perindopril 4mg Cp (Não Padrão),Perindopril,119,4
AZITromicina 500 mg comprimido revestido,Azitromicina,118,4
PANTOprazol 40mg Frasco-ampola #,Pantoprazol,120,5
CARBOplatina 10mg/ml 15ml sol. Inj - QT,Carboplatina,122,5
PredniSONA 5mg Comprimido - Ems,Prednisona,118,4
"ESCITALOPRAM, OXALATO COMPRIMIDO C/10MG",Escitalopram,122,4
Empagliflozina 10 Mg Cp,Empagliflozina,116,7
MC: AAS 81MG ,Ácido Acetilsalicílico,113,8
Aldomet 500 Mg Cp.,Metildopa,112,3
IODETO DE POTASSIO 200MG - XAROPE  FR 100 ML,Iodeto de Potássio,125,8
GLIMEPIRIDA 4MG 30 CP CIMED GEN,Glimepirida,119,4
DIGOXINA 0.25MG CPR,Digoxina,114,3
BROMOPRIDA 5MG/ML 2ML CARRO EMERG AD 02 TERREO,Bromoprida,129,5
benzilpenicilina BENZATINA 1200000UI PO LIOFILIZADO FA,Benzilpenicilina Benzatina,128,10
Água,Água,107,2
Escopolamina 10 mg/mL fr 20 mL,Escopolamina,116,3
Xylestesin 10% Fr 50 Ml Spray ( Lidocaína ),Lidocaína,125,5
Tetralysal 300mg Cápsula,Limeciclina,116,5
COMPLEXO PROTROMBINICO PO LIOFILO INJETAVEL 500UI+DILUENTE 20ML,Complexo Protrombínico,133,7
SINvastatina 40MG CP,Sinvastatina,114,5
TERLIPRESSINA ACETATO 1MG FR-AMP,Terlipressina,119,4
OXACILINA 500MG (FRASCO) IV,Oxacilina,119,4
LACTOBACILLUS ACIDOPHILUS+RHAMNOSUS+BIFIDOBACTERIUM+POLIDEXTROSE 1 g,"Lactobacillus Acidophilus, Rhamnosus, Bifidobacterium, Polidextrose",139,25
FENOBARBITAL 100MG - COMPRIMIDO,Fenobarbital,119,5
"ESPIRAMICINA 1,5 MUI (500MG) COMPRIMIDO",Espiramicina,124,4
CASSIA ANG.+CASSIA FIS.+TAMARIN.+CORIAN. CPR,"Sene, Cássia e Tamarindo",126,11
METOCLOPRAMIDA 5MG/ML C/2ML INJ,Metoclopramida,122,6
"BICARBONATO DE SODIO 8,4% SOL. P/ HEMODIALISE FR 6,2L",Bicarbonato de Sódio,134,8
CARBAMAZEPINA CR 400MG COMPRIMIDO,Carbamazepina,119,5
TRIANCINOLONA (ACETONIDA) 1MG/G,Triancinolona Acetonida,120,8
Trometamina Cetorolaco Sl 10mg cp,Cetorolaco de Trometamina,118,9
MC: FORXIGA 1CPCEDO ,Dapagliflozina,118,8
Imunoglobulina Humana 5g (10%) Frasco 50ml,Imunoglobulina Humana,123,7
LEVOFLOXACINO 5MG/ML 150ML SOL.INJ,Levofloxacino,123,6
SULFATO DE AMICACINA 250MG/ML - 2ML (500MG) – SOLUÇÃO INJETÁVEL - AMPOLA,Amicacina,139,4
Lidocaina 2% C/V 20 ml FA,Lidocaina,117,4
METFORMINA 850 MG - COMP,Metformina,113,3
REGENCEL( ACIDO RETINOICO + ASSOCIACOES ) POMADA OFTALMICA,Ácido Retinoico,129,5
CLORIDRATO DE METOCLOPRAMIDA 5MG/ML - 2ML (10MG) – SOLUÇÃO INJETÁVEL - AMPOLA,Metoclopramida,142,6
NORVASC 5MG CPR,Amlodipina,112,5
FOSFATO POTASSICO 10ML (2 MEQ/ML) AMP,Fosfato de Potássio,123,9
Linezolida 600mg/300mL Sol inj,Linezolida,118,4
Tridil 25mg Inj. Ampola C/ 5ml,Nitroglicerina,121,4
Delabaxi (delafloxaxino) 300mg ampola,Delafloxaxino,121,5
Tetraciclina 500 Mg Cp.,Tetraciclina,115,5
"DEXAMETASONA 10MG/2,5ML",Dexametasona,119,5
ZOLTEC 150MG CAPS GEL-FLUCONAZOL,Fluconazol,122,5
Akineton 2mg Cp.,Biperideno,113,4
"DEXAmetasona 4mg/ml Amp 2,5ml",Dexametasona,121,5
DECADRON 4MG COMPRIMIDO,Dexametasona,115,5
FENITOINA 100MG - COMPRIMIDO,Fenitoína,117,5
CefaLOTina 1G SOL INJ EV,Cefalotina,116,5
CETOCONAZOL 20MG/G CREME,Cetoconazol,116,5
BEVAcizumabe 400mg/16ml Fr-Amp (Convenio),Bevacizumabe,125,5
"NEOSTIGMINA (0,5MG/1ML) 0.5 mg/mL",Neostigmina,125,4
Acido Epsilon AMINOcaproico 4G SOL INJ,Ácido Epsilon Aminocapróico,120,10
FentaNILA 250MCG/5ML AMP,Fentanila,117,4
"Vasopressina 20 U/ml, amp 20UI/ml",Vasopressina,119,5
BuPROPiona Cloridrato 150mg cp,Bupropiona,117,4
AMOXICILINA SUSP ORAL 250MG/5ML FR 150ML,Amoxicilina,124,4
DIMORF 10 MG/ML AMP 1 ML,Morfina,117,3
ALBENDAZOL 40MG/ML SUSP. ORAL,Albendazol,120,5
LEVOFLOXACINO 750MG/100ML BOLSA,Levofloxacino,121,6
Olmesartana 40mg + HidroCLOROTiazida 25mg Comprimido Revestido,"Olmesartana, Hidroclorotiazida",130,13
FAULDFLUOR 2500MG,Fluoreto de Sódio,114,8
Cinetol 5 Mg/ml Amp.,Biperideno,114,4
fenoterol + ipratropio 0.05 + 0.02 mg/dose aerossol oral tubo 10mL,"Fenoterol, Ipratropio",135,10
"IMATINIB, MESILATO 100MG COMPRIMIDO - NP",Imatinib,122,3
CLINDAMICINA 600MG/4ML,Clindamicina,116,4
"Olmesartana 20mg + HidroCLOROTiazida 12,5mg Comprimido Revestido","Olmesartana, Hidroclorotiazida",132,13
Monoetanolamina 50mg/mL inj. ampola c/ 2mL,Monoetanolamina,123,4
"Clonazepam 20ml (2,5mg/ml) Gts",Clonazepam,121,4
"Lidocaína 50mg/g + Hidrocortisona Acetato 2,5mg/g + Alumínio 35mg/g + Óxido de Zinco 180mg/g Pomada Bisnaga 25g","Lidocaína, Hidrocortisona Acetato, Alumínio, Óxido de Zinco",159,29
IRRITRATIL 200MG 60 CAP,Hidróxido de Alumínio,117,10
Lidocaína 10% Spray 50ml | Solução Tópica,Lidocaína,123,5
INSULINA LISPRO DERIVADA-ADN RECOMBINAN 100 UI/ML-MED RISCO,Insulina Lispro,129,5
Dolutegravir Sódico 50 mg cp  revest.,Dolutegravir,121,5
Floratil 200mg/g Env 1g (Não Padrão),Saccharomyces boulardii,122,8
"Fenobarbital 200mg/2ml, injetável IV",Fenobarbital,120,5
Sotalol 160mg Cp,Sotalol,112,3
FUROSEMIDA 10MG/ML - 2ML – SOLUÇÃO INJETÁVEL - VIA ENDOVENOSA OU INTRAMUSCULAR - AMPOLA,Furosemida,144,4
DEXAmetasona 2mg (2mg/ml) Ampola 1ml,Dexametasona,124,5
ALBENDAZOL 400MG COMPRIMIDO,Albendazol,117,5
MEPERIDINA 100MG 2ML (CLOR.) - AMP.,Meperidina,122,4
Acetilcisteina-n 600 Mg/5g Env,Acetilcisteína,119,7
BuPROPiona 50mg Cap (Med. Controlado) (Não Padrão),Bupropiona,124,4
Enalapril 1mg/mL Sol oral 100mL (Não Padrão),Enalapril,125,4
"DIGOXINA 0,25MG - COMPRIMIDO SULCADO",Digoxina,122,3
ACIDOS GRAXOS ESSENCIAIS (AGE)+TCM+VIT A+VIT E SOL FR 20ML,"Ácidos Graxos Essenciais, Triglicerídeos de Cadeia Média, Vitamina A, Vitamina E",134,30
ERITROPOETINA SOL INJ 40000UI/ML SER SUBCUTANEO,Eritropoetina,126,6
HIDROXIDO DE ALUMINIO 60MG/ML - SUSPENSAO - FRASCO 100ML,Hidróxido de Alumínio,132,10
DIAZEPAM 10MG (NP),Diazepam,116,3
"MP - ADALImumabe 40mg/0,4ml Seringa",Adalimumabe,123,4
"Atrovent 0,25 Mg/ Ml Fr C/ 20 Ml ( Brometo de Ipratrópio )",Brometo de Ipratrópio,133,9
SIMETICONA EMULSAO 75 MG / ML 15ML,Simeticona,121,4
SERETIDE FR SPRAY 25MCG/125MCG N.P.,Salmeterol e Fluticasona,122,10
Cetuximab 100 mg/20 mL (Anticorpo Monoclonal),Cetuximab,126,5
DIPROPIONATO DE BECLOMETASONA  - CLENIL SPRAY FR 250MCG N.P.,Dipropionato de Beclometasona,132,11
BENZOCAINA GEL 200 MG/G 12G (SABOR MENTA),Benzocaína,125,5
"FLUMAZENIL 0,1MG / ML 5ML IV",Flumazenil,121,4
BENALET - PASTILHAS,"Difenidramina, Cloridrato de Amônio, Benzoato de Sódio",113,23
"CLORIDRATO DE NAFAZOLINA 0,5 mg/ml",Nafazolina,122,4
AMOXICILINA+CLAVULANATO DE POTASSIO 500+125 MG,Amoxicilina + Clavulanato de Potássio,125,14
Glicinato férrico + associações Susp oral 120mL,Glicinato férrico,122,7
CISPLATINA 1MG/ML 50ML FA,Cisplatina,118,4
Metilcelulose 2% soluçao oftalmica - fr 10mL 20 mg/mL,Metilcelulose,130,5
Valproato de Sódio 500mg,Valproato de Sódio,115,7
SULFATO FERROSO 300MG (60MG DE FERRO ELEMENTAR) DRAGEA NP,Sulfato Ferroso,130,6
Omeprazol 40mg FA,Omeprazol,114,5
Ácidos Graxos Essenciais Loção Hidratante Bisnaga 30g,Ácidos Graxos Essenciais,126,9
LOSARTAN 50MG COMP,Losartan,112,3
Digedrat 200mg Cap (Não Padrão),Metoclopramida,118,6
Hidro-beta-metil-butirato (hmb) 3g Sachê - Manipulado,Hidroxi-Metil-Butirato,127,11
TROPINAL SOL ML,Hioscina,110,4
Finasterida 5mg cp,Finasterida,112,3
"DENOSUMABE SOLUCAO INJETAVEL 120MG/1,7ML##®",Denosumabe,129,4
FENOBARBITAL (800MG/ 20ML) 40 mg/mL,Fenobarbital,123,5
AloPURinol 100MG,Alopurinol,112,5
AZITromicina 500MG VO,Azitromicina,113,4
ETOPOSIDO 100MG QT,Etoposido,113,4
DEXTROCETAMINA 50MG/ML - F/A 10ML,Dextroanfetamina,122,7
DIPIRONA 500 MG COMP,Dipirona,113,4
DOPamina 50MG / 10ML 10ML (MED. ALTO RISCO),Dopamina,126,3
DIAZEPAM 10MG/2ML SOL INJ IV,Diazepam,120,3
REMINIL ER 24 MG (NP),Galantamina,115,3
Uso Dom.: PERIVASC 1000MG,Ácido Aminocapróico,116,8
TRASTUzumabe 600mg/5mL,Trastuzumabe,118,5
Prontosan Solução 350 ml,Poliaminoácido e Undecilenamidopropil Betaína,114,17
"Clindamicina, cloridrato de, 300 mg ",Clindamicina,121,4
DipiRONA 500mg/mL Frasco 20mL | Solução Oral,Dipirona,123,4
Lisodren (Mitotano) 500mg comprimido,Mitotano,119,3
FENITOINA 100MG COMP (HIDANTAL),Fenitoína,119,5
GANciclovir 1mg/mL Sol Inj 100mL (bolsa),Ganciclovir,127,5
Protamina 1000UI/mL - 5mL,Protamina,117,2
FENOTEROL 5MG/ML (SOL P/ NEBULIZAÇÃO) - FR 20ML,Fenoterol,132,4
ACIDO ACETILSALICILICO 100MG,Ácido Acetilsalicílico,118,8
DipiRONA  INJETAVEL 2 ML 500 MG/ML AMP,Dipirona,124,4
FITOMENADIONA (VIT K) 10MG/ML 1ML - USO IM,Fitomenadiona,128,4
Pomalidomida 4mg Cápsula,Pomalidomida,117,5
IODO POVIDONA 5% SOL OFTALMICA,Iodo Povidona,119,5
Biperideno 5 mg/mL amp 1 mL (Port344/98),Biperideno,123,4
"BICARBONATO DE SODIO 8,4% 10ML",Bicarbonato de Sódio,122,8
FENOBARBITAL  40MG / ML GTS,Fenobarbital,119,5
Flagyl Nistatina Creme Vaginal Bisnaga 50g,"Metronidazol, Nistatina",122,10
Cefalexina 50mg/mL - 100mL,Cefalexina,118,4
ACIDO ASCORBICO 100 MG/ML - 5ML (500 MG) - AMP,Ácido Ascórbico,125,6
"Pegfilgrastim 6 mg solucao injetavel seringa 0,6 mL ",Pegfilgrastim,128,6
Levetiracetam 100 mg/mL sol. oral,Levetiracetam,117,5
Dexalgen (Ampola I e II),"Dexametasona, Cloridrato de Tiamina, Cloridrato de Piridoxina, Cianocobalamina",116,33
Sulfato Ferroso 40mg comprimido,Ferro,117,2
