medicamento,substancia_correta,llm_response,acertou
HIDROCLOROTIAZIDA 25MG/5L 50ML MANIPULADO,HIDROCLOROTIAZIDA,Hidroclorotiazida,1
METARAMINOL  INJETAVEL - 1 ML 10 MG/ML AMP,METARAMINOL,Metaraminol,1
METOPROLOL (TARTARATO) 10MG/ML 30 ML FR,METOPROLOL TARTARATO,Metoprolol,1
SULFAMETOXAZOL/TRIMETROPRIMA 800/160MG CP,SULFAMETOXAZOL+TRIMETOPRIMA,Sulfametoxazol e Trimetoprima,1
ALTEPLASE 50MG - FR AMP,ALTEPLASE,Alteplase,1
Micardis 80 Mg Cp,TELMISARTANA,Telmisartana,1
"Neostigmina 0,5mg/ml Ampola 1ml",NEOSTIGMINA,Neostigmina,1
Ceftazidima + Avibactam 2000mg+500mg Fr Amp,CEFTAZIDIMA + AVIBACTAM,Ceftazidima + Avibactam,1
SULFAMETOXAZOL + TRIMETOPRIMA 400 MG + 80 MG COMPRIMIDO,SULFAMETOXAZOL+TRIMETOPRIMA,Sulfametoxazol + Trimetoprima,1
Vaselina Sólida 30g,VASELINA,Vaselina,1
CLORIDRATO DE TIORIDAZINA 25 mg,TIORIDAZINA,Tioridazina,1
INFLIXimabe 10mg/mL,InFLIXimabe,Infliximabe,1
Imipra 25mg Cp rev (Med. Controlado) (Não Padrão),IMIPRAMINA,Imipramina,1
CEFUROXIMA SODICA 750MG FAM,CEFUROXIMA,Cefuroxima,1
AmiTRIPtilina 25MG COMP. (TRYPTANOL),AMITRIPTILINA,Amitriptilina,1
Salmeterol+Fluticasona 25+125mcg/jato spray,SALMETEROL + FLUTICASONA,Salmeterol e Fluticasona,1
CefTAZidima PO PARA SOLUCAO INJETAVEL 1G,CEFTAZIDIMA,Ceftazidima,1
AloPURinol 300 mg,AloPURinol,Alopurinol,1
BECLOMETASONA  SPRAY ORAL 50 MCG/JAT FR,beclometasona,Beclometasona,1
CIMETIDINA 150MG / ML  IM / IV,cimetidina,Cimetidina,1
CIPROFLOXACINO + HIDROCORTISONA COLIRIO FRASCO  - NP,ciprofloxacino + HIDROCORTISONA (otológico),"Ciprofloxacino, Hidrocortisona",1
"RASBURICASE 1,5MG PO FA",RASBURICASE,Rasburicase,1
DipiRONA 500MG CPR,DipiRONA,Dipirona,1
"SOLUCAO FISIOLOGICA 0,9% 500ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de sódio,1
ACIDO ACETIL SAL INFAN 100MG 10 CP AV,ACIDO ACETILSALICILICO <200MG,Ácido Acetilsalicílico,1
Piemonte Env 4mg,MONTELUCASTE DE SODIO,Montelucaste,1
N-ACETILCISTEINA 20MG/1ML XAROPE PED,ACETILCISTEINA,N-Acetilcisteína,1
LAMOTRIGINA 100MG - COMPRIMIDO,LAMOTRIGINA,Lamotrigina,1
Fomblin Hcr 3% + Alantoína 1% + Óleo de Silicone 10%  Pote 100g Creme,CREME PROTETOR,"Fomblin Hcr, Alantoína, Óleo de Silicone",0
(NAO PADRAO) ACIDO VALPROICO 500MG COMPRIMIDO,ACIDO VALPROICO (VALPROATO DE SODIO),Ácido Valproico,1
"Isossorbida, Dinitrato 10mg Cp",ISOSSORBIDA,Dinitrato de Isossorbida,1
ALENIA 12/400 (01 CAPSULA DE 12/12 HORAS),FORMOTEROL + BUDESONIDA,Budesonida + Formoterol,1
PROPRANOLOL 40 MG - COMP,PROPRANOLOL,Propranolol,1
PERTUZUMABE+TRASTUZUMABE 600 MG + 600 MG SOL. INJ. - QT,PERTUZUMABE + TRASTUZUMABE,"Pertuzumabe, Trastuzumabe",1
"SOLUCAO DE DIALISE PERITONEAL 4,25% BOLS 6000ML",GLICOSE MONOHIDRATADA + LACTATO DE SODIO + CLORETO DE SODIO + CLORETO DE CALCIO DI-HIDRATADO + CLORETO DE MAGNESIO HEXAIDRATADO,Dextrose,0
VASOGARD 100MG 30 CP C,Cilostazol,Pentoxifilina,0
ANASTROLIBBS (ANASTROZOL) 1MG COMP,ANASTROZOL,Anastrozol,1
AMICACINA 500MG / 2ML,AMICACINA ,Amicacina,1
DOCETAXEL 20MG/ML,DOCETAXEL,Docetaxel,1
Medicamento do paciente (uso eventual) 06,MEDICAMENTO DO PACIENTE,"Desculpe, mas você não forneceu um nome específico de medicamento. Por favor, forneça o nome do medicamento para que eu possa identificar a substância ativa.",0
Corentel 10mg Cp rev (Importado) (Não Padrão),BISOPROLOL,Bisoprolol,1
PIRIMETAMINA 25 mg,PIRIMETAMINA,Pirimetamina,1
MC: METOPROLOL ( SELOZOK  25 ,METOPROLOL SUCCINATO,Metoprolol,1
BISACODIL 5 MILIGRAMAS,BISACODIL,Bisacodil,1
HIDROXIDO DE FERRO III 100 MILIGRAMAS (COMPRIMIDO),FERRIPOLIMALTOSE (FERRO HIDROXIDO SACARATO),Hidróxido de Ferro III,0
ANLODIPINO 5MG (NORVAX),ANLODIPINO,Amlodipino,1
DIPIRONA 500MG/ML SOLUCAO ORAL DOSE 13 GOTAS,DipiRONA,Dipirona,1
ERTAPENEM SODICO PO LIOFILO INJETAVEL 1G,ERTAPENEM,Ertapenem Sódico,1
FUROSEMIDA 40 mg,FUROSEMIDA,Furosemida,1
ACIDO ACETILSALICILICO COMP C/100MG,ACIDO ACETILSALICILICO <200MG,Ácido Acetilsalicílico,1
CiclosPORINA 25mg Cap,CiclosPORINA,Ciclosporina,1
N.P. - ESCITALOPRAM 10MG CP,ESCitalopram,Escitalopram,1
GLUTAMINA 5G - SACHÊ,GLUTAMINA,Glutamina,1
MALEATO DE ENALAPRIL 5 MILIGRAMAS (COMPRIMIDO),ENALAPRIL MALEATO,Enalapril,1
"Diluição MORFINA em CLORETO SODIO 0,9% 100ML (CONTINUO)",SULFATO DE MORFINA,Morfina,1
RPA METOCLOPRAMIDA 5MG/ML AMP.2ML(PLASIL) IV (ADULTO),METOCLOPRAMIDA,Metoclopramida,1
DIPIRONA 1000MG/2ML AMP,DipiRONA,Dipirona,1
SOROTERAPIA - GLICOSE 5% 500ML FR,SOLUCAO DE GLICOSE (SORO GLICOSADO),Glicose,1
"Dutasterida 0,5mg/mL + Tansulosina 0,4 mg/mL Sol oral 60mL (Não Padrão)",TANSULOSINA + DUTASTERIDA,"Dutasterida, Tansulosina",1
"AMICACINA, SULFATO 50MG/ML AMP 2ML",AMICACINA ,Amicacina,1
CISATRACURIO 10MG/5ML EV PED (MEDICAMENTO DE RISCO),CISATRACURIO,Cisatracurio,1
Tranexâmico Ácido 250mg Cp.,ACIDO TRANEXAMICO,Ácido Tranexâmico,1
MC: LEVETIRACETAM  10 ,LEVETIRACETAM,Levetiracetam,1
HidroCLOROtiazida - comprimido 25 mg,HIDROCLOROTIAZIDA,Hidroclorotiazida,1
Persantin 10mg/2ml Ampola 2ml,DIPIRIDAMOL,Dipiridamol,1
NitroGLICERINA 5MG/ML  5ML SOL.INJ CONCENTRADO - SOLUÇÃO,NitroGLICERINA,Nitroglicerina,1
SALIVA ARTIFICIAL FRS,SALIVA ARTIFICIAL,Carmelose Sódica,0
ESPIRONOLACTONA 25MG/ 5ML-100 ML,ESPIRONOLACTONA,Espironolactona,1
"Rivotril 0,5 mg comp (RQ) (Port344/98)",CLONAZEPAM,Clonazepam,1
"Pirimetamina, Cloridrato de 25mg Cpr",PIRIMETAMINA,Pirimetamina,1
Cálcio MDK,CARBONATO DE CALCIO+OXIDO DE MAGNESIO + MALTODEXTRINA + MENAQUINONA-7 (VITAMINA K2) + COLECALCIFEROL (VITAMINA D3) + ANTIUMECTANTE CELULOSE MICROCRISTALINA + ESTABILIZANTE CROSCARMELOSE SODICA + LUBRIFICANTE ESTEARATO DE MAGNESIO + DIOXIDO DE SILICIO,Cálcio,0
CRANBERRY 1 mg,CRANBERRY (CRANBERRIES),Cranberry,1
Tramadol 100mg Amp 2mL (50mg/mL),TRAMADOL CLORIDRATO,Tramadol,1
"Bexsero Susp inj 0,5mL",VACINA ADSORVIDA MENINGOCOCICA B (RECOMBINANTE),Meningococo B (recombinante),1
TRASTUZUMABE ENTANSINA 20MG/ML,TRASTUZUMABE,Trastuzumabe Entansina,1
"SOLUCAO CLORETO DE SODIO 0,9% 1000ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio,1
LUITEINA 10 mg + ZEAXANTINA 2 mg,LUTEINA + ZEAXANTINA ,"Luteína, Zeaxantina",1
Diosmina+Hesperidina 50 mg/450 mg comp,DIOSMINA + HESPERIDINA,"Diosmina, Hesperidina",1
NITAZOXANIDA 20MG/1ML SUSPENSAO,NITAZOXANIDA,Nitazoxanida,1
"cloNIDina 0,1MG OU 100 MICROGRAMAS (ATENSINA)",CLONIDINA,Clonidina,1
CLORETO DE SODIO 0.9% - FRASCO 1000ML,"CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio,1
CefTAZidima 1G +  AD 10ML  EV BI/BS - CARDIOPED,CEFTAZIDIMA,Ceftazidima,1
MESNA 400MG/4ML AMP 4ML - PRIMEIRA DOSE,MESNA,Mesna,1
"Haloperidol 5 mg/1 ml, amp 5mg/ml",HaloPERidol,Haloperidol,1
PEMBROLIZUMABE,PEMBROLIZUMABE,Pembrolizumabe,1
"AloPURinol 100mg, comprimido (ORAL)",AloPURinol,Alopurinol,1
CLORETO DE SODIO 0.9% - AMP 10ML,"CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sodio,1
SEROQUEL 100MG CP,QUEtiapina,Quetiapina,1
Stugeron Comprimido 25mg,CINARIZINA,Cinarizina,1
HIDRALYTE 45 LARANJA 500ML FR NATULAB,CLORETO DE SODIO + CITRATO DE SODIO DIIDRATADO + GLICOSE + CITRATO DE POTÁSSIO MONOIDRATADO,Hidrato de Sódio,0
Cinarizina 25mg,CINARIZINA,Cinarizina,1
METOCLOPRAMIDA+SIMETICONA+PANCREAT.+PEPS. CPR,METOCLOPRAMIDA + SIMETICONA + PANCREATINA + PEPSINA,"Metoclopramida, Simeticona, Pancreatina, Pepsina",1
DOCEtaxel SOLUCAO INJETAVEL PRONTA PARA USO 20MG/ML 6ML##,DOCETAXEL,Docetaxel,1
"TERBUTALINA  0,5MG/ML AMPOLA 1ML",TERBUTALINA,Terbutalina,1
SUFentanila 50MCG/ML 1ML SOL.INJ,SUFENTANILA,Sufentanila,1
ACIDO FOLINICO 10MG/ML ENDOVENOSO,FOLINATO DE CALCIO (ACIDO FOLINICO),Ácido folínico,1
"BUpivacaina 0,5% s/v - 20mL",BUPIVACAINA,Bupivacaína,1
DENOSUMABE 60MG/ML 1ML SOL.INJ - QT,DENOSUMABE,Denosumabe,1
LevoTIROXina 88mcg Comprimido,LevoTIROXina,Levotiroxina,1
FERRONIL 40MG COMPRIMIDO,SULFATO FERROSO,Ferro,1
MC: RIVAROXABANA 1 ,RIVAROXABANA,Rivaroxabana,1
"(Do paciente ) Valsartana 80 mg + Hidroclorotiazida 12,5 mg cp",VALSARTANA +HIDROCLOROTIAZIDA,"Valsartana, Hidroclorotiazida",1
MC: RIVAROXABANA,RIVAROXABANA,Rivaroxabana,1
NiFEDipina AÇÃO RETARDADA 20 mg,NIFEDIPINO,Nifedipina,1
Alfaepoetina 10.000UI/mL Ser,ALFAEPOETINA (ERITROPOETINA),Alfaepoetina,1
Clopidogrel 75 mg  cp,CLOPIDOGREL,Clopidogrel,1
CicloFOSFAMida 50MG CPR,ciclofosfamida,Ciclofosfamida,1
MC: SOMALGIN 01CP ,ACIDO ACETILSALICILICO <200MG,Ácido acetilsalicílico,1
MESNA 400MG/4ML AMP 4ML - TERCEIRA DOSE,MESNA,Mesna,1
CIANOCOBOLAMINA (VIT B12) 1000MCG SOL INJ - AMP 1ML OU 2ML,CIANOCOBALAMINA (VITAMINA B12),Cianocobalamina,1
Benzetacil 1200.000 10 Fr,BENZILPENICILINA BENZATINA,Benzilpenicilina benzatina,1
"DIMENIDRATO 30MG,PIRIDOXINA 50MG DL 10ML-PED",DIMENIDRINATO + PIRIDOXINA(B6),"Dimenidrinato, Pridoxina",1
TACROLIMO 1MG CAPS (CEAF),TACROLIMO,Tacrolimo,1
Biperideno 5mg inj. amp. 1mL,BIPERIDENO,Biperideno,1
ANLODIPINA 5 MG CMP,ANLODIPINO,Amlodipina,1
Água Para Injetáveis - 500 mL,AGUA PARA INJECAO,Água,0
BACLOFENO 10 mg,BACLOFENO,Baclofeno,1
"SUPLEM. VITAMINICO (A, B1, B2, B5, B8, C, D, E) - SOL. ORAL",POLIVITAMINICO,"Vitaminas A, B1, B2, B5, B8, C, D, E",1
BECLOMETASONA 250MCG SPRAY,beclometasona,Beclometasona,1
Plenance EZE 20/10mg Cap (Não Padrão),EZETIMIBA + ROSUVASTATINA,Ezetimiba,0
"Nilperidol 0,05mg + 2,5mg/ml Ampola 2ml",FENTANILA + DROPERIDOL,Haloperidol,0
LEVOMEPROMAZINA SOL ORAL 40MG/ML FR 20ML,LEVOMEPROMAZINA (METOTRIMEPRAZINA),Levomepromazina,1
LAMOTRIGINA 100MG - COMPRIMIDO,LAMOTRIGINA,Lamotrigina,1
Actonel Comprimido Revestido 150mg,RISEDRONATO,Risedronato Sódico,1
DOXOrrubicina 50mg Fr/amp,DOXORRUBICINA  CLORIDRATO,Doxorrubicina,1
Ceftazidima + Avibactam (2g + 500mg) Fa.,CEFTAZIDIMA + AVIBACTAM,"Ceftazidima, Avibactam",1
Escopolamina 1mg Adesivo (Não Padrão),ESCOPOLAMINA (HIOSCINA),Escopolamina,1
Clortalidona 25mg Cp,CLORTALIDONA,Clortalidona,1
Fosfato de sodio monobasico + fosfato de sodio dibasico Sol.retal  Fr 130 mL (RQ),FOSFATO DE SODIO MONOBASICO MONOIDRATADO + FOSFATO DE SODIO DIBASICO HEPTAIDRATADO (RETAL),"Fosfato de sódio monobásico, Fosfato de sódio dibásico",0
BIPERIDENO 2MG - CP,BIPERIDENO,Biperideno,1
ELIQUIS 5 MG COMPRIMIDO,APIXABANA,Apixabana,1
IMUNOGLOBULINA HUMANA 50MG/ML (5%) FR 100ML,IMUNOGLOBULINA HUMANA,Imunoglobulina Humana,1
"Dexametasona 4mg/mL Injetável c/ 2,5mL",DEXAMETASONA,Dexametasona,1
Somalgin Cardio 325 Mg Cp.,ACIDO  ACETILSALICILICO + GLICINATO DE ALUMINIO +  CARBONATO DE MAGNESIO                                              ,Ácido Acetilsalicílico,0
TOPIRAMATO 25MG COMP REVESTIDO,TOPIRAMATO,Topiramato,1
[ N.P] CLORETO DE SODIO SOL INJ 20% AMP 10ML (MAV),"CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio,1
Avamys spray 1 frasco com 120 doses,FLUTICASONA,Fluticasona furoato,1
CEFTRIAXONA SODICA 1G (FRASCO AMPOLA) SC,CefTRIAXona,Ceftriaxona,1
MEDICAMENTO NAO PADRAO,MEDICAMENTO NAO PADRONIZADO,"Desculpe, mas não consigo fornecer a substância ativa para ""MEDICAMENTO NAO PADRAO"" porque isso não parece ser o nome de um medicamento específico. Por favor, forneça o nome correto do medicamento.",0
Budesonida 400 mcg caps c/inalador,BUDESONIDA,Budesonida,1
VANCOMICINA 500MG FR AMP - UTIN,VANCOMICINA CLORIDRATO,Vancomicina,1
FENITAL 50MG/ML-5ML AMP IV-FENITOINA,FENITOINA,Fenitoína,1
Oseltamivir 30mg Cap,OSELTAMIVIR,Oseltamivir,1
Adenosina 3mg/mL inj. ampola c/ 2mL,ADENOSINA,Adenosina,1
PANTOPRAZOL SODICO SESQUI-HIDRATADO 20 mg,PANTOPRAZOL,Pantoprazol,1
CefaLOTina 1G + AD 10ML - EV - NEO,Cefalotina,Cefalotina,1
"Carvedilol 3,125mg Cp",CarVEDilol,Carvedilol,1
CAPECITABINA 500MG CP REV,CAPECITABINA,Capecitabina,1
Lidocaína 1% s/ vasoconstritor inj. frasco-ampola c/ 20mL,LIDOCAINA CLORIDRATO,Lidocaína,1
ATORVASTATINA 3 mg + EZETIMIBA 5 mg,ATORVASTATINA + EZETIMIBA,"Atorvastatina, Ezetimiba",1
Tisseel Lyo - Kit 2ml ,FIBRINOGENIO+APROTININA+TROMBINA (TOPICO),Fibrinogênio e Trombina,0
Telmisartana 40mg Cp,TELMISARTANA,Telmisartana,1
AMPICILINA 1G - Infantil,AMPICILINA,Ampicilina,1
[MPP] VOLARE (ENOXAPARINA) 80MG,ENOXAPARINA SODICA,Enoxaparina,1
TRAStuzumabe DERUXTECANA 100mg Inj,TRASTUZUMABE,Trastuzumabe Deruxtecano,0
PROMETAZINA 25 MG COMPRIMIDO,PROMETAZINA,Prometazina,1
"Hioscina 20mg + dipirona 2,5g/5ml, amp",ESCOPOLAMINA + DIPIRONA,"Hioscina, Dipirona",1
MACROGOL+ASSOCIACOES ENVELOPE SABOR LIMAO 14G,MACROGOL+BICARBONATO DE SODIO+CLORETO DE POTASSIO + CLORETO DE SODIO,Macrogol,0
REGORAFENIBE 40MG VO QT,REGORAFENIBE,Regorafenibe,1
Nitrato de Prata 1% Colirio 3ml,NITRATO DE PRATA (OFTALMICO),Nitrato de Prata,1
AMICACINA 500MG/2ML - AMP,AMICACINA ,Amicacina,1
TIAMINA CLORIDRATO 100MG/ML   1ML,TIAMINA (VITAMINA B1),Cloridrato de Tiamina,1
"Gestinol 0,075mg/0,03mg Drágea",GESTODENO + ETINILESTRADIOL,Etonogestrel e Etinilestradiol,0
VALAciclovir 500mg Cp rev,VALACICLOVIR,Valaciclovir,1
MESALAZINA 2 g,MESALAZINA,Mesalazina,1
"CarVEDilol COMPRIMIDO 3,125MG",CarVEDilol,Carvedilol,1
Nitrato De Isoconazol 10mg/g + Valerato De Diflucortolona 1mg/g  Bisnaga 30g,NITRATO DE ISOCONAZOL + VALERATO DE DIFLUCORTOLONA (TOPICO),"Isoconazol, Diflucortolona",1
ACLASTA 5MG/100ML 1 FRASCO,ACIDO ZOLEDRONICO,Ácido zoledrônico,1
LIDOCAINA 25MG+PRILOCAINA 25MG CREME,LIDOCAINA + PRILOCAINA (TOPICO),"Lidocaína, Prilocaína",1
Hidroxietilamido + Cloreto De Sódio 6% Inj. Frasco C/ 500ml (voluven)*,HIDROXIETILAMIDO + CLORETO DE SODIO,Hidroxietilamido + Cloreto de Sódio,1
TRAStuzumabe 150MG - BI (MEDICAMENTO DE RISCO),TRASTUZUMABE,Trastuzumabe,1
Estudo Garden - Glenzocimabe/Placebo Frasco-Ampola (Pesquisa Clínica),GLENZOCIMABE,Glenzocimabe,1
DIAzepam 5mg Comprimido,DIAZEPAM,Diazepam,1
Puran T4 (levotiroxina) 25mcg Comprimido,LevoTIROXina,Levotiroxina,1
"Isossorbida, Monon 10mg/ml  Ampola 1ml",ISOSSORBIDA,Isossorbida Mononitrato,1
Tiossulfato de sódio 4% Inj 2mL,TIOSSULFATO DE SODIO,Tiossulfato de sódio,1
"Bicarbonato de sodio 8,4% 10 mL (84 mg/mL) 1 meq = 84 mg amp",BICARBONATO DE SODIO,Bicarbonato de sódio,1
"Bicarbonato de Sodio 8,4% solucao 84 mg/mL frasco 250 mL",BICARBONATO DE SODIO,Bicarbonato de Sódio,1
SERTRALINA 100MG,SERTRALINA CLORIDRATO,Sertralina,1
"Amicacina  250mg/mL 2mL, ampola (IM, IV)",AMICACINA ,Amicacina,1
PASTA D'AGUA+MENTOL E CANFORA 150G,PASTA D'AGUA + MENTOL E CANFORA,Mentol e Cânfora,0
DIMENIDRINATO+PIRIDOXINA CLORIDRATO  50+50MG 1ML IM,DIMENIDRINATO + PIRIDOXINA(B6),"Dimenidrinato, Piridoxina Cloridrato",1
INSULINA HUMANA NPH 100UI/ML FAM,INSULINA HUMANA NPH,Insulina Humana NPH,1
RIFAMP 75MG + ISONIAZ 50MG + PIRAZ 150MG - CP ORODISPERSIVEL,ETAMBUTOL + ISONIAZIDA + PIRAZINAMIDA + RIFAMPICINA,Rifampicina + Isoniazida + Pirazinamida,1
OXcarbazepina 60mg/mL Susp Oral - Trileptal,OXCARBAZEPINA,Oxcarbazepina,1
FLUCONAZOL CAPSULA C/100MG,FLUCONAZOL,Fluconazol,1
GENTAMICINA 80 MG AMP 2 ML,GENTAMICINA,Gentamicina,1
NOREPinefrina 1MG/ML- EV- BS - PED (MEDICAMENTO DE RISCO),NOREPINEFRINA (NORADRENALINA),Norepinefrina,1
Paracetamol 500mg Comprimido,PARACETAMOL  (ACETAMINOFEM),Paracetamol,1
LEVOFLOXACINA 500MG/100ML - EV - PED,LEVOFLOXACINO,Levofloxacina,1
Tridil 50 mg/10 mL amp (5 mg/mL) (RQ) (MPP),NitroGLICERINA,Nitroglicerina,1
"HEMITARTARATO DE RIVASTIGMINA 9,5 mg",RIVASTIGMINA,Rivastigmina,1
LORazepam 1 mg Cp.,LORAZEPAM,Lorazepam,1
LIDOCAINA 10% SOL. SPRAY TOPICO FR 50ML,LIDOCAINA (TOPICO),Lidocaína,1
HIDROXIDO MAGNESIO SUSPENSAO,HIDROXIDO DE MAGNESIO,Hidróxido de Magnésio,1
Prednisona 20mg Cp.,PredniSONA,Prednisona,1
SULFATO DE MAGNESIO 10% 10ML (MED. ALTO RISCO),SULFATO DE MAGNESIO,Sulfato de Magnésio,1
PALBOCICLIBE 125MG CAP  - QT,Palbociclibe,Palbociclibe,1
FINASTERIDA 5MG CP,FINASTERIDA,Finasterida,1
"Metoprolol, Succinato 50mg Cp Rev Lib Prolongada",METOPROLOL SUCCINATO,Metoprolol,0
CLORPROMAZINA 5MG/ML AMP 5 ML,ClorproMAZINA,Clorpromazina,1
"RIVOTRIL 0,5MG - CP",CLONAZEPAM,Clonazepam,1
Linezolida 600 mg  bolsa 300 ml,LINEZOLIDA,Linezolida,1
ANESTALCON - COLIRIO,PROXIMETACAINA (OFTALMICO),Cloridrato de Nafazolina + Maleato de Feniramina,0
MEROpenem 1G ,MEROPENEM,Meropenem,1
BISSULFATO DE CLOPIDOGREL 75 mg,CLOPIDOGREL,Clopidogrel,1
ACIDO TRANEXAMICO 250MG 5ML AMPOLA,ACIDO TRANEXAMICO,Ácido Tranexâmico,1
QUEtiapina 100 mg comprimido revestido,QUEtiapina,Quetiapina,1
Clozapina 100mg cp.,Clozapina,Clozapina,1
NiFEDipina 10mg cp,NIFEDIPINO,Nifedipina,1
"Cloreto De Sódio 0,9% 100ml | Solução Injetável","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio,1
Lenalidomida 15mg Cap (Med. Controlado),LENALIDOMIDA,Lenalidomida,1
INDOMETACINA 25MG CAPSULA,INDOMETACINA,Indometacina,1
FENITOÍNA 100MG - COMPRIMIDO,FENITOINA,Fenitoína,1
Votrient 400mg Comprimido Revestido,PAZOPANIBE,Pazopanibe,1
NISULID 50MG/ML 15ML (300GOTAS) FR,Nimesulida,Nimesulida,1
Sugamadex 100mg/ml Amp 2ml,SUGAMADEX,Sugamadex,1
PAROXETINA 20MG (NAO PADRONIZADO),PAROXETINA,Paroxetina,1
Menelat 30mg Cp rev (Med. Controlado) (Não Padrão),MIRTAZAPINA,Mirtazapina,1
Cetoprofeno IV 100 mg  FA,CETOPROFENO,Cetoprofeno,1
MC: BISOPROLOL 5MG ,BISOPROLOL,Bisoprolol,1
Prednisona 5mg Cp. *,PredniSONA,Prednisona,1
PARACETAMOL 750MG - COMPRIMIDO,PARACETAMOL  (ACETAMINOFEM),Paracetamol,1
TRAMAL 50MG/ML AMP 1ML,TRAMADOL CLORIDRATO,Tramadol,1
"PAMIDRONATO DISSODICO 90MG + SF0,9% 250ML",PAMIDRONATO (ACIDO PAMIDRONICO),Pamidronato Dissódico,1
QUIMIOTERAPIA - BUSCOPAN COMPOSTO 5ML AMPOLA EV,ESCOPOLAMINA + DIPIRONA,Butilbrometo de escopolamina + dipirona sódica,1
Omeprazol 40mg Inj. ,OMEPRAZOL,Omeprazol,1
Metoprolol Tartarato 100mg Cp. Rev.,METOPROLOL TARTARATO,Metoprolol,0
Nivolumabe 10 mg/mL solucao 10 mL (100 mg/frasco-ampola ) ,NIVOLUMABE,Nivolumabe,1
CeFAZolina PO LIOFILO INJETAVEL 1G,CeFAZolina,Cefazolina,1
MetoTREXATO SOLUCAO INJETAVEL 100MG/ML 50ML##®,METOTREXATO,Metotrexato,1
ANTIRRABICO (SAR),IMUNOGLOBULINA ANTIRRABICA,Vírus rábico inativado,0
"Vick 44E (1,3+13,3)mg/mL Xpe 240mL (Não Padrão)",GUAIFENESINA + DEXTROMETORFANO,Dextrometorfano,0
ESCOPOLAMINA + DIPIRONA 5ML AMP,ESCOPOLAMINA + DIPIRONA,"Escopolamina, Dipirona",1
Neozine 100 Mg Cp.,LEVOMEPROMAZINA (METOTRIMEPRAZINA),Levomepromazina,1
Apresolina 25mg Drg. ,HidrALAZINA,Hidralazina,1
Dorzolamida 20mg/ml + Timolol 5mg/ml Solução Oftálmica Frasco 5ml,DORZOLAMIDA + TIMOLOL (OFTALMICO),"Dorzolamida, Timolol",1
Bactrin 400/80mg amp 5 ml (Sulfametoxazol 400 mg + Trimetoprima 80 mg),SULFAMETOXAZOL+TRIMETOPRIMA,Sulfametoxazol + Trimetoprima,1
MIRABEGRONA 50 mg,MIRABEGRONA,Mirabegrona,1
IMIPRAMINA 25MG COMPRIMIDO,IMIPRAMINA,Imipramina,1
VASopressina 20U Amp 1mL - Encrise,Vasopressina,Vasopressina,1
"Isossorbida, Mononitrato de 20mg CPR",ISOSSORBIDA,Mononitrato de Isossorbida,1
DOBUTAMINA 250MG/20ML - DILUIDO EM SF (MPP) - (UTIN),Dobutamina,Dobutamina,1
Acetato De Clostebol 5mg/g + Sulfato De Neomicina 5mg/g Creme Dermatológico 30g,CLOSTEBOL + NEOMICINA (TOPICO),"Acetato de Clostebol, Sulfato de Neomicina",1
HIPO HIDRATAÇÃO FISIOLÓGICA 500ML,"CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio,1
MC: CECLOR BD 500MG ,ACIDO ASCORBICO (VITAMINA C),Cefaclor,0
"PELARGONIUM SIDOIDES 307,39 mg/ml",PELARGONIUM SIDOIDES,Pelargonium Sidoides,1
AGUA OXIGENADA 10 VOL ALMOTOLIA,AGUA OXIGENADA,Peróxido de Hidrogênio,1
"Tecnomet 2,5mg Cpr.",METOTREXATO,Metformina,0
Bilyt 300mg Cp (Med. Controlado) (Não Padrão),CARBONATO DE LITIO,Bicalutamida,0
CEFADROXILA CAP 500MG,cefadroxila,Cefadroxila,1
TIOPENTAL 1G - FR-AMP,TIOPENTAL,Tiopental,1
LANSOPRAZOL CAPSULA,LANSOPRAZOL,Lansoprazol,1
"Alphagan P 0,15% 1,5mg/mL Sol oftálmica 5mL (Não Padrão)",BRIMONIDINA (OFTALMICO),Brimonidina,1
OXACILINA SÓDICA 500MG – PÓ LIOFILIZADO - FRASCO-AMPOLA,OXACILINA SODICA,Oxacilina Sódica,1
"Ampicilina + Sulbactam 1g + 0,5g  Po Liofizado frasco-ampola",AMPICILINA SODICA + SULBACTAM,Ampicilina + Sulbactam,1
SOROTERAPIA - AGUA BIDESTILADA SOL INJ FR 500ML,AGUA DESTILADA,Água Bidestilada,1
Micofenolato de mofetila 50mg (NÃO PADRONIZADO),MICOFENOLATO MOFETIL,Micofenolato de mofetila,1
HUMULIN REG 100UI/ML-10ML FR/AMP SC/IV/IM-INSULINA HUMANA,INSULINA REGULAR,Insulina Humana,1
FUROSEMIDA SOLUCAO 10MG/ML 100ML,FUROSEMIDA,Furosemida,1
CISATRACÚRIO 2MG/ML 5ML,CISATRACURIO,Cisatracúrio,1
"Oxacilina 500mg, injetável",OXACILINA SODICA,Oxacilina,1
Dolutegravir 5mg cp. revestido,DOLUTEGRAVIR,Dolutegravir,1
