medicamento,substancia
Kombiglyze XR 5/1000mg Cp rev (Não Padrão),SAXAGLIPTINA + METFORMINA
"ENALAPRIL, MALEATO COMP 20 MG ""NP""",ENALAPRIL MALEATO
"CLONIDINA 0,150MG/1ML",CLONIDINA
AmioDARONA 150MG  3ML,AMIODARONA
Amilorida 5 mg,Amilorida
BCG 40 MG VACINA - AMP,BCG (CEPA VIVA ATENUADA)
AKYNZEO 1 CAPSULA,NETUPITANTO + PALONOSETRONA
LIDOCAINA 25MG/G+PRILOCAINA 25MG/G CREME 5G,LIDOCAINA (TOPICO)
PARACETAMOL 200MG/ML SOLUCAO ORAL DOSE 30 GOTAS,PARACETAMOL  (ACETAMINOFEM)
"Atropion 0,25mg inj. ampola c/ 1mL",ATROPINA
FentaNILA 50mcg/ml FA 10ml,FENTANILA
"DEXAMETASONA+NEOMICINA+POLIMIXINA POM OFT 3,5G",DEXAMETASONA + NEOMICINA + POLIMIXINA (OFTÁLMICO)
LEVOTIROXINA SOD. 75MCG 30CP MERCK GEN,LevoTIROXina
MC: BENICAR ANLO 40+5MG ,OLMESARTANA + ANLODIPINO
OLEO MINERAL 100% - FRASCO 100ML,OLEO MINERAL
Amoxicilina 875mg + Ácido Clavulânico 125mg Comprimido,AMOXICILINA + CLAVULANATO POTASSIO
CITARABINA 1G/10ML FR.AMP,CITARABINA
Voriconazol 200mg FA,VORICONAZOL
CEFALEXINA 500MG CAPS. (KEFLEX),Cefalexina
SACITUZUMABE GOVITECANA 200MG (TRODELVY),SACITUZUMABE GOVITECANA
RAMIPRIL  5MG COMP,RAMIPRIL
"Rehidrat 50 (7,337 G)",SAIS REIDRATACAO
CETOCONAZOL 2% SHAMPOO FRASCO 200 ML,CETOCONAZOL (TÓPICO)
GALVUS MET 50/500MG 56 CP C,METFORMINA + VILDAGLIPTINA
TRAMADOL 50MG - CAPS,TRAMADOL CLORIDRATO
HIDROXIBENZOATO DE VIMINOL 70MG CPR,VIMINOL
Cisatracúrio Besilato 2mg/mL Amp. 10mL,CISATRACURIO
PENTOXIFILINA 400MG COMP,PENTOXIFILINA
HIDROXIUREIA 500MG,HIDROXIUREIA
NICOTINA 2 mg,NICOTINA (TRANSDERMICO)
"COLCHICINA 0,5MG - COMPRIMIDO",Colchicina
(Do paciente ) Beclometasona 100 mcg + formoterol 6 mcg/ dose Solução aerossol,FENOTEROL
POLIMIXINA B SULFATO 500.000UI PO/SOL INJ FR-AMP,POLIMIXINA B SULFATO
Vincristina 1mg/ml Fr/amp 1ml,VINCRISTINA
Cloreto de Potássio 6% Sol oral 100mL,CLORETO DE POTASSIO
CLORIDRATO DE CLORPROMAZINA 100  mg/,ClorproMAZINA
Acido Folico 5 Mg Cp.,ACIDO FOLICO (VITAMINA B9)
DEX Bolsa 4 mcg/mL 100 mL,DEXMEDETOMIDINA
CANDESARTANA CILEXETILA COMPRIMIDO 16 MG,CANDESARTANA CILEXETILA
"CLONAZEPAM 2,5MG/ML",CLONAZEPAM
DIMORF 30MG - CP (MEDICAMENTO DE RISCO),SULFATO DE MORFINA
Enbrel PFS 50mg/mL Sol inj 1mL (caneta) (Não Padrão),ETANERCEPTE
XARELTO 10MG (MEDICAMENTO DE RISCO),RIVAROXABANA
AZITROMICINA 500 MG COMP,AZITROMICINA
OCTREOTIDA ACETATO PO PARA SUSPENSAO INJETAVEL 30MG+DILUENTE 2ML®,OCTREOTIDA
CETOPROFENO 100 MG FRASCO,CETOPROFENO
POLIETILENOGLICOL (PEG) 4000 UI ENV 30 G,POLIETILENOGLICOL (MACROGOL)
Aldomet 250mg Cp rev (Não Padrão),METILDOPA
Axetilcefuroxima 250mg Cp rev,AXETILCEFUROXIMA
Ioexol 350mg/ml Fa. 50ml (contraste),IOEXOL
CAPTOpril 25 MG CPR (EMS),CAPTOPRIL
BENZILPENICILINA BENZATINA 1200.000UI,BENZILPENICILINA BENZATINA
"Imatinibe, Mesilato 100mg",IMATINIBE
ACETILCISTEINA 600MG,ACETILCISTEINA
"FONDAPARINUX SODICO 2,5MG 0,5ML SC (MAV)",FONDAPARINUX
PERNEIRA TAM M PARA SISTEMA PNEUMATICO DE COMPRESS REF DS212,PERNEIRAS DE COMPRESSAO PNEUMATICA
Cetoconazol + betametasona creme 30gr,CETOCONAZOL+ OUTROS (TÓPICO)
CARBONATO DE CALCIO 500 mg,CARBONATO DE CALCIO
CETROLAC COLÍRIO,CETOROLACO DE TROMETAMINA
DIOSMINA 450 mg,DIOSMINA
"Fitomenadiona 2mg/0,2mL amp (NEO/PED) (manipulada)",FITOMENADIONA (VITAMINA K)
MONOCORDIL 10MG/ML AMP,ISOSSORBIDA
Doxiciclina 100mg Drageas,DOXICICLINA
ESCOPOLAMINA BUTILBROMETO SOLUCAO INJETAVEL 20MG/ML 1ML,ESCOPOLAMINA (HIOSCINA)
SEVOFLURANO FRASCO 100 ML - FRASCO 100ML,SEVOFLURANO
FOSFOMICINA 3G PO ORAL ENVELOPÉ,FOSFOMICINA
"Betametasona 0,5 Mg Cp.",BETAMETASONA 
BIOPSIA/EXERESE DE NODULO DE MAMA,SULFATO DE MAGNESIO
Aclasta 5mg/100ml,ACIDO ZOLEDRONICO
CEFALEXINA 500MG DRG,Cefalexina
ISOSSORBIDA (MONONITRATO) 40MG,ISOSSORBIDA
HIPODERMOCLISE - MORFINA CONTÍNUO 10MG/1ML AMP,SULFATO DE MORFINA
IRINOTECANO 100MG INJETÁVEL,IRINOTECANO
FLUTICASONA 25 mcg + SALMETEROL 50 mcg,SALMETEROL + FLUTICASONA
AZITromicina DIIDRATADA PO LIOFILO INJETAVEL 500MG,AZITROMICINA
ENALAPRIL 10MG COMPRIMIDO,ENALAPRIL MALEATO
PrednisoLONA Acetato 10mg/mL Colírio Fr. 5mL,PREDNISOLONA (OFTÁLMICO)
Anfotericina B 50 mg  FA,ANFOTERICINA B DESOXICOLATO (NORMAL)
Triancil 100mg/5ml Frasco-ampola 5ml,TRIANCINOLONA HEXACETONIDA
Ansitec 10mg Cp (Med. Controlado) (Não Padrão),BUSPIRONA
AmiNOFILina 100mg Cpr,AmiNOFILina
"Cloreto de Sodio+Gliconato de Sodio+Acetato de Sodio Tri-hidratado+Cloreto de Potassio+Cloreto de Magnesio Bolsa 500 mL pH 7,4 (Plasma Lyte)",CLORETO  DE SODIO + GLICONATO DE SODIO + ACETATO DE SODIO TRI-HIDRATADO + CLORETO DE POTASSIO + CLORETO DE MAGNESIO HEXAIDRATADO
ESPIRONOLACTONA 25MG CPR,ESPIRONOLACTONA
INSULINA NPH HUMANA 100 UI/ML SC (MEDICAMENTO DE RISCO),INSULINA HUMANA NPH
Amoxicilina + Clavulanato 1Gr+ 200mg IV inj. fr.amp.,AMOXICILINA + CLAVULANATO POTASSIO
Zidovudina 10mg/mL solução oral  fr 100mL (AZT),ZIDOVUDINA
"BESILATO DE ATRACURIO (10MG/ML - AMP. C/2,5 ML - TRACUR)",BESILATO DE ATRACURIO
"BIcarbonato de sódio 8,4% Sol inj 250mL",BICARBONATO DE SODIO
TRILEPTAL 300MG 60 CP REV C1,OXCARBAZEPINA
Stanglit 30mg Comprimido,PIOGLITAZONA
BEZAFIBRATO 200 mg,BEZAFIBRATO
MC: LEVOTIRACETAM 250 ,LEVETIRACETAM
Cisatracúrio 10mg ampola c/ 5mL,CISATRACURIO
Ambisome 50mg Frasco-ampola,ANFOTERICINA B LIPOSSOMAL
Emgality 120mg/ml Solução Injetável 1ml,GALCANEZUMABE
HidrOXIzina soluçao oral - fr 100mL 2 mg/mL,HIDROXIZINA
"Oximetazolina, cloridrato  0,5mg/mL adulto sol. nasal frasco c/ 30mL",OXIMETAZOLINA
VACINA BCG/INTRADERMICA,BCG (CEPA VIVA ATENUADA)
MC: MANIDIPINO 10MG ,MANIDIPINO
hidroCORTIsona 100MG FA,HIDROCORTISONA SUCCINATO SODICO
"SORO FISIOLOGICO 0,9% - 100ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
SORO GLICOSADO 5% 1.000ML,SOLUCAO DE GLICOSE (SORO GLICOSADO)
PRADAXA 110MG - CAPSULA (MEDICAMENTO DE RISCO),Dabigatrana
GANciclovir Sódico 1mg/mL Bolsa 500mL | Solução Para Infusão,GANCICLOVIR
"Glicerol Infantil 1,44g Supositório",GLICERINA (RETAL)
UNOPROST 2MG CP,DOXAZOSINA
ATENOLOL 50MG - COMPRIMIDO,ATENOLOL
"CLORETO DE SODIO (NaCl) 0,9%  AM 10 ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
"LIQUEMINE 5000UI/0,25ML SC - AMP",Heparina
SulfADIAZINA de Prata + Nitrato de Cerio Creme 50 g,SULFADIAZINA DE PRATA + NITRATO DE CERIO (TOPICO)
Fycompa 4mg Cp rev (Med. Controlado) (Não Padrão),PERAMPANEL
MILRINONA 1MG/ML SOLUCAO INJETAVEL AMPOLA 10ML,MILRINONA
Rosuvastatina 10mg Comprimido Revestido - Germed,ROSUVASTATINA CALCICA
VACINA VESPA/MARIMBONDO (HIMENOPTEROS) - 1:1 (100 mcg/ml),VACINA VESPA/MARIMBONDO
Klaricid 500mg Frasco-ampola,CLARITROMICINA
VIT A + VIT D  - RETINOL+COLECALCIFEROL+OX ZINCO USO TOPICO,RETINOL (VITAMINA A) + COLECALCIFEROL (VITAMINA D) + OXIDO DE ZINCO (TOPICO)
Sol Glicose 5% 500ml SF fr,SOLUCAO DE GLICOSE (SORO GLICOSADO)
PENIcilina G BENZATINA 1.200.000 UI FA,BENZILPENICILINA BENZATINA
MIDAZOLAM 5MG/5ML,MIDAZOLAM
Paclitaxel 100 mg  FA,PACLITAXEL
ClorproMAZINA 5mg/ml Inj 5ml,ClorproMAZINA
temozolomida 100 mg capsula dura,TEMOZOLOMIDA
Tramal Retard 100mg Cp Lib. Controlada,TRAMADOL CLORIDRATO
METRONIDAZOL 250MG COMPRIMIDO,metronidazol
Ambroxol 6mg/ml Xarope Adulto Frasco 120ml,AMBROXOL (ACEBROFILINA)
Mesna 400 Mg Amp. ,MESNA
PURAN T4 (L-TIROXINA SODICA) 25MCG COMP,TIROXINA
DIAZEPAM 5MG COMPRIMIDO,DIAZEPAM
ERITROMICINA 125MG/5ML - SUSPENSAO,ERITROMICINA
Revolade 50mg Cp rev (Não Padrão),ELTROMBOPAGUE OLAMINA
IXAZOMIBE 4MG (NINLARO),IXAZOMIBE
"[MPP] BOLSA P DIALISE PERITONEAL 1,5% 2500ML",GLICOSE MONOHIDRATADA + LACTATO DE SODIO + CLORETO DE SODIO + CLORETO DE CALCIO DI-HIDRATADO + CLORETO DE MAGNESIO HEXAIDRATADO
IMUNOGLOBULINA DE COELHO ANTI-TIMOCITOS,IMUNOGLOBULINA ANTI-TIMOCITOS
Neomicina+bacitracina 15g Pomada,NEOMICINA + BACITRACINA (TOPICO)
RiTUXimabe 500mg/50ml FA (MABTHERA),RiTUXimabe
SERTRALINA 50MG COMPRIMIDO,SERTRALINA CLORIDRATO
Biperideno 2 mg cp (Port344/98),BIPERIDENO
PROMETAZINA 25MG COMP REV,PROMETAZINA
PANCURÔNIO 2MG/ML - AMP 2ML,PANCURONIO
"**Octreotida 0,1mg/1mL Amp (ANTÍDOTO)",OCTREOTIDA
Cebralat 100mg Cp.,Cilostazol
MC: TREZETE 20+10 ,EZETIMIBA + ROSUVASTATINA
Nicotinell 21mg adesivo transdermico,NICOTINA (TRANSDERMICO)
CEBRALAT 100MG - CP,Cilostazol
ESCOPOLAMINA BUTILBROMETO SOLUCAO INJETAVEL 20MG/ML 1ML,ESCOPOLAMINA (HIOSCINA)
Zinacef 750mg IV/IM Frasco-ampola,CEFUROXIMA
"CABERGOLINA ,5 MG CMP",CABERGOLINA
SANDOSTATIN LAR 30MG+DIL2ML+1AGU GELAD,OCTREOTIDA
Clonazepam 2mg | Comprimido Simples,CLONAZEPAM
Citrato de Cafeína 20mg/mL 1mL (PEYONA),CAFEINA
CAPTOPRIL 2MG/ML SOLUCAO ORAL FRASCO 100ML,CAPTOPRIL
"AMBROXOL 30MG/5 ML XAROPE ADULTO DOSE 7,5 ML",AMBROXOL (ACEBROFILINA)
Bromoprida - comprimido 10 mg,BROMOPRIDA
"ALPRAZOLAM 0,5MG COMPRIMIDO",ALPRAZOLAM
Clorpromazina 25mg Cp,ClorproMAZINA
CARBAMAZEPINA 100MG/5ML SUSPENSAO ORAL DOSE 2 ML,CARBAMAZEPINA
SULFATO DE MAGNESIO SOL INJ 50% AMP 10ML,SULFATO DE MAGNESIO
Tropicamida 1% Sol oftálmica 10mL,TROPICAMIDA
Bisacodil 5mg,BISACODIL
DIPIRONA (SÓDICA) 500 MG/ML C/ 2ML INJ CC,DipiRONA
"Novabupi 0,5 % S/ Vasoconstritor 20 Ml  Inj.",LEVOBupivacaina
"CITRATO DE POTASSIO XAROPE 500MG/ML 100ML (191,4MG/ML POTASSIO ELEMENTAR)",CITRATO DE POTASSIO
DILTIAZEM 30mg COMP,DILTIAZEM
CINACALCETE 30 MG,Cinacalcet
"MORFINA 0,2MG/ML SOLUCAO INJETAVEL AMPOLA 1ML",SULFATO DE MORFINA
"LIDOCAINA 2% SEM VASOCONSTRITOR (20mg/mL) TUBETE 1,8mL",LIDOCAINA CLORIDRATO
MERONEN IV 500MG FA,MEROPENEM
Polimixina B 500.000U.I Fa.,POLIMIXINA B SULFATO
Gabapentina 400mg cáp.(NÃO PADRONIZADO),GABAPENTINA
AGUA DESTILADA PARA INJEÇAO 1000ML FRASCO,AGUA DESTILADA
Metoclopramida 10mg Cp. *,METOCLOPRAMIDA
SOLUCAO GLICOSE 5% 250ML,SOLUCAO DE GLICOSE (SORO GLICOSADO)
Polivitamínico Sol inj 10mL (Frutovitam),POLIVITAMINICO
Colecalciferol (Vitamina D3) 10.000UI Cápsulas Moles ,COLECALCIFEROL (VITAMINA D)
EMPAGLIFLOZINA 25mg COMP,empagliflozina 
Fósforo Quelato 125mg Cápsula (blister) - Manip,FOSFORO QUELATO
IMATINIBE COMP 400MG,IMATINIBE
Diltiazem 2% + Lidocaína 1% Pomada 50g (Não Padrão),LIDOCAINA (TOPICO)
OSELTAMIVIR 75 mg,OSELTAMIVIR
Vidisic Gel 2mg/g Gel oftálmico 10g,CARBOMER (ACIDO POLIACRILICO) (OFTÁLMICO)
"ISOPREnalina 0,2mg/mL Sol inj",ISOPRENALINA (ISOPROTERENOL)
CAFEINA ANIDRA 200MG CAPSULA,CAFEINA
ACIDO FOLICO 5 MG,ACIDO FOLICO (VITAMINA B9)
HEPARINA 5.000UI/ML - FR-AMP 5ML,Heparina
DIPIRONA MONOIDRATADA 35 mg,DipiRONA
MC: FLEXOTID 1 ,FLUTICASONA
"VARFARINA 7,5MG CP (ALTA VIGILANCIA)",VARFARINA SODICA
"Cloreto de sódio 0,9%/10ml, injetável, ampola de plástico ou vidr","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
NORTriptilina  50mg cps,Nortriptilina
LEVOFLOXACINA 5MG/ML 100ML FA - PED,LEVOFLOXACINO
BETAMETASONA ACET.+FOSF. DISSOD.BETAM.3MG+3MG/ML 1ML SOL INJ,ACETATO DE BETAMETASONA + FOSFATO DISSODICO DE BETAMETASONA
Metronidazol 100mg/g Creme Vaginal Bisnaga 50g,METRONIDAZOL (TOPICO)
Captopril 50mg | Comprimido,CAPTOPRIL
NitroGLICERINA 5mg/ml Ampola 10ml | Solução Injetável,NitroGLICERINA
CETuximabe SOLUCAO INJETAVEL 5MG/ML 100ML## ®,CETUXIMABE
CEFUROXIMA SÓDICA 750MG - PÓ PARA SOLUÇÃO INJETÁVEL - VIA INTRAMUSCULAR OU INTRAVENOSA - FRACO-AMPOLA,CEFUROXIMA
"Cylocort (3,0 +1,0)mg/g Pomada oftálmica 3,5g (Não Padrão)",CIPROFLOXACINO + DEXAMETASONA (OFTALMICO)
"Clonazepam 0,5mg Cp.",CLONAZEPAM
MC: BACLOFENO 3 ,BACLOFENO
Misoprostol 200mcg (Secretaria de Saúde),Misoprostol
"ALFA PORACTANTE 120 MG 1,5ML FR",ALFAPORACTANTO (SURFACTANTE)
DIAZEPAM SOLUCAO INJETAVEL 10MG - 2ML (MAV),DIAZEPAM
Ciclosporina 25mg,CiclosPORINA
CLORETO DE SODIO 20% - 10ML PED  (MEDICAMENTO DE RISCO),"CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
ESCITALOPRAM 10 MG - COMP,ESCitalopram
ARIPIPRAZOL COMPRIMIDO 15MG @,ARIPIPRAZOL
"ESCitalopram 20mg, comprimido (ORAL)",ESCitalopram
RECONTER 10MG  (NP),ESCitalopram
Feldene SL 20 Mg Cp.,Piroxicam
CISATRACURIO 2 MG/ML FRASCO AMPOLA 5ML,CISATRACURIO
Zolpidem 10mg Comprimido - Biolab,ZOLPIDEM
NISTATINA SUSPENSAO ORAL 100.000UI/ML - SERINGA - 5ML,NISTATINA
Dexclorfeniramina+betametasona xpe Ad./Ped. fr. 120ml,DEXCLORFENIRAMINA + BETAMETASONA
Jardiance 25mg Cp,empagliflozina 
VALSARTANA 80mg COMP REV,VALSARTANA
ESPIRONOLACTONA 100MG COMPRIMIDO,ESPIRONOLACTONA
FENILEFRINA SOL OFTAL 100MG/ML FR 5ML,FENILEFRINA
METADONA  5MG - CP,Metadona
Amoxicilina 875 mg/Acido Clavulanico 125 mg cp,AMOXICILINA + CLAVULANATO POTASSIO
FUMARATO DE VONOPRAZANA 10 mg,VONOPRAZANA
Clomipramina 75mg comprimido de liberação lenta,CLOMIPRAMINA
RITUXIMABE 100MG/10ML SOL. INJETAVEL FA 10ML,RiTUXimabe
HIDRATAR A PELE APOS BANHO COM OLEO DE GIRASSOL,CREME HIDRATANTE
MONONITRATO DE ISOSSORBIDA 20 MILIGRAMAS (COMPRIMIDO),ISOSSORBIDA
Imipenem Cilastatina 500mg FA,IMIPENEM + CILASTATINA
METRONIDAZOL 5 MG/ML FRASCO OU BOLSA 100 ML - FRAS,metronidazol
Fauldcita 500 mg  FA,CITARABINA
POLIVITAMINICO SEM MINERAIS VIT A+COMP B+VIT D2+VIT C+VIT E ,POLIVITAMINICO
SOLUÇAO PARA HIGIENE BUCAL COM ANESTESICO 100 ML FR,CLORETO DE CETILPIRIDINIO
Solução Para Higiene Oral Fr. 20ml,CLOREXIDINA
Rosuvastatina 5mg  Comprimido Revestido,ROSUVASTATINA CALCICA
Nicotina 7mg adesivo transdermico,NICOTINA (TRANSDERMICO)
Irinotecano Sol inj,IRINOTECANO
TRAMADOL SOL. ORAL GOTAS 100 MG/ML FR,TRAMADOL CLORIDRATO
CARBONATO DE CALCIO 500 MG CAP,CARBONATO DE CALCIO
QUIMIOTERAPIA - SOL MANITOL 20% ECOFLAC 250ML,MANITOL
NEXAVAR 200MG COMP - SORAfenibe (NP),SORAFENIBE
HIDROXIDO DE ALUMINIO SUSPENSAO 60MG/ML 240ML,HIDROXIDO DE ALUMINIO
Trimetazidina 35mg cp. (NÃO PADRONIZADO),TRIMETAZIDINA
Sulfadiazina 500 mg cp,SulfADIAZINA
ACIDO ASCORBICO 100MG/ML SOL INJ,ACIDO ASCORBICO (VITAMINA C)
"ENOXAPARINA 60 MG 0,6 ML SERINGA SUBCUTANEA",ENOXAPARINA SODICA
MISOPROSTOL 200 MCG VAGINAL COMPRIMIDO,Misoprostol
AMBROXOL 30MG/5ML XAROPE ADULTO DOSE 10 ML,AMBROXOL (ACEBROFILINA)
Caldê Comprimido Mastigável,CALCIO + COLECALCIFEROL (VITAMINA D)
VERAPAMIL 80 mg,VERAPAMIL
SULFASALAZINA 500MG CP,SulfaSSALAzina
Clortalidona 25mg cpr,CLORTALIDONA
HIDROCLOROTIAZIDA 25MG CP,HIDROCLOROTIAZIDA
IMUNOGLOBULINA HUMANA 5G FRASCO,IMUNOGLOBULINA HUMANA
"MDP - acido medrônico 10,0 mg/frasco",ACIDO MEDRONICO
Oxacilina sodica 500mg ,OXACILINA SODICA
"FENTANIL 0,05MG/ML 5ML",FENTANILA
CETOPROFENO 100MG - FR AMP ENDOVENOSO,CETOPROFENO
CITRATO DE CAFEINA 20MG / ML (UTIN/ UCIN/ CO),CAFEINA
DOMPERIDONA 10MG CPR (NP),DOMPERIDONA
LIDOCAINA 5% (700mg) EMPLASTRO ,LIDOCAINA (TOPICO)
"Maleato de metilergometrina 0,2mg inj. ampola c/ 1mL",METILERGOMETRINA
FLUORESCEINA SODICA 10% SOL. INJETAVEL AMP 5ML,FLUORESCEINA (OFTALMICO)
IRINOTECANO 100MG/5ML,IRINOTECANO
"Cloreto de potássio 6% (60mg/ml), solução oral",CLORETO DE POTASSIO
"CLORETO DE SODIO SOLUCAO INJETAVEL 0,9% 100ML (BOLSA)","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
Butilescopolamina 20mg/ml Ampola 1ml,ESCOPOLAMINA (HIOSCINA)
Nausicalm B6 IM  amp 1 ml (Dimenidrato + vitamina),DIMENIDRINATO + PIRIDOXINA(B6)
Glicinato ferrico 500mg (Neutrofer),FERRO GLICINATO
"DESLANOSIDEO 0,4MG/2ML",DESLANOSIDEO
MPP:  OLMESARTANA,OLMESARTANA
GLIBENCLAMIDA 5 MG ,GLIBENCLAMIDA
VASOPRESSINA 20UI/ML - AMP 1ML,Vasopressina
SULFATO ZINCO HEPTAHIDRATADO 4MG/ML,SULFATO DE ZINCO HEPTAIDRATADO + SULFATO CUPRICO PENTAIDRATADO + SULFATO DE MANGANES MONOIDRATADO + CLORETO CROMICO HEXAIDRATADO
CLORETO SODIO 20% 10ML,CLORETO DE SODIO
"APIXABANA COMPRIMIDO REVESTIDO 2,5MG",APIXABANA
SULFAMETOXAZOL/TRIMETROPRIMA 400/80MG/5ML SOL. ORAL,SULFAMETOXAZOL+TRIMETOPRIMA
"Restasis 0,05% (500mcg/ml) Emulsão Oftálmica Flaconete Plástico 0,4ml",CiclosPORINA
Aciclovir 200mg Comprimido ,ACICLOVIR
Sepurin 120mg + 20mg Drágea,METENAMINA + METILTIONINIO
LOPERAMIDA  2MG - CP,LOPERAMIDA
"ENOXAPARINA 60MG / 0,6ML(MED.ALTO RISCO)",ENOXAPARINA SODICA
Sulfato Ferroso 125mg/ml Gts. Fr. 30ml,SULFATO FERROSO
"PredniSONA 5mg, comprimido (ORAL)",PredniSONA
"PARATRAM 37,5MG/325MG 30 CP A2",TRAMADOL + PARACETAMOL
"PEGFILGRASTIMA 10MG/ML 0,6ML",PEGFILGRASTIM
"Gosserrelina 3,6mg seringa",GOSSERRELINA
DAPAGLIFOZINA,DAPAGLIFLOZINA
Cloridrato de Metformina 850mg Comprimido,METFORMINA
"SORO FISIOLOGICO 0,9% 10ML AMP","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
Oxido de zinco/vitamina A/vitamina D pomada 45g,RETINOL (VITAMINA A) + COLECALCIFEROL (VITAMINA D) + OXIDO DE ZINCO (TOPICO)
ESCOPOLAMINA 20MG/ML AMP 1ML,ESCOPOLAMINA (HIOSCINA)
HEPARINA SODICA BOVINA 5000UI/ML SOL. INJETAVEL FA 5ML,Heparina
Trazodona 50mg cp.,TRAZODONA
AGUA DESTILADA 500ML (MEDICAMENTO DE RISCO),AGUA DESTILADA
VECTIBIX 100MG/5ML,PANITUMUMABE
Garasone colírio frasco c/ 10 ml,GENTAMICINA + BETAMETASONA (TOPICO)
"Uso Dom.: DUTASTERIDA 0,5MG  MANIPULADO 1 CP APÓS JANTAR",DUTASTERIDA
Vertix Solução Oral Gotas 5mg/ml (1 ml = 20 gotas) Frasco 30ml,FLUNARIZINA
Papaína 8% Gel 20g,PAPAINA (TOPICO)
Propranolol 40mg Cp,PROPRANOLOL
ONDANSETRONA 2 MG/ML AMPOLA 2 ML - AMPOLA 2ML,ONDANSETRONA
"Melatonina Fast 0,21mg/gota Frasco 30ml",MELATONINA
INSULINA LIRAGLUTIDA 6MG/ML CANETA,LIRAGLUTIDA
"COLCHICINA COMPRIMIDO 0,5MG",Colchicina
Rivaroxabana 15mg cp,RIVAROXABANA
"NEOSTIGMINA (METILSULFATO) 0,5MG SOL INJET 0,5MG/ML- AMP 1ML",NEOSTIGMINA
"BETAmetasona, Dipropionato+Fosfato 5+2mg Amp 1mL - Diprospan",DIPROPIONATO DE BETAMETASONA + FOSFATO DISSODICO DE BETAMETASONA
CeftAZIDima 1G,CEFTAZIDIMA
DIOSMINA 900 mg + HESPERIDINA 100 mg,DIOSMINA + HESPERIDINA
SULFATO DE GENTAMICINA 40MG/ML - 1ML (40MG) - SOLUCAO INJETAVEL - AMPOLA,GENTAMICINA
TOPIRAMATO 100MG CPR,TOPIRAMATO
CLORIDRATO DE FEXOFENADINA 6 mg/ml,FEXOFENADINA
Óleo ácidos graxos essenciais (AGE) - frasco 100mL,ACIDOS GRAXOS ESSENCIAIS (TOPICO)
Agua destilada estéril 1000 mL sistema fechado (MPP),AGUA DESTILADA
CEFALEXINA 500MG CP,Cefalexina
FITOMENADIONA 10MG/ML  1ML IM -- AMPOLA,FITOMENADIONA (VITAMINA K)
"CETOCONAZOL 20 MG/G + BETAMETASONA 0,5 MG/G  30 G TUBO",CETOCONAZOL + BETAMETASONA  (TOPICO)
Meperidina 100mg/2mL Sol inj (Med. Controlado),PETIDINA (MEPERIDINA)
VACINA HEPATITE B (INFANTIL) - (NP),VACINA HEPATITE
Kyprolis (Carfilzomibe),CARFILZOMIBE
Qlaira comprimido (Blíster 28 Cp),ESTRADIOL
Tramadol Cloridrato 100mg Amp. 2mL,TRAMADOL CLORIDRATO
Novolin N Penfill 100u/ml Carpule 3ml,INSULINA HUMANA NPH
"ENOXAPARINA 60MG/0,6ML SOL.INJ",ENOXAPARINA SODICA
PROPOFOL EMULSÃO 10MG/ML FA 100 ML (MAV),PROPOFOL
CLORIDRATO DE METFORMINA 850 mg,METFORMINA
TRIMETAZIDINA DICLORIDRATO COMPRIMIDO REVESTIDO 35MG,TRIMETAZIDINA
Midazolam 5 mg Inj. Amp. c/ 5 mL,MIDAZOLAM
SIMETICONA EMULSAO ORAL SEM CORANTE 75MG/ML 10ML,SIMETICONA
Racecadotrila 100mg Cap,RACECADOTRILA
DICLORIDRATO DE FLUNARIZINA 10 mg,FLUNARIZINA
ETOPOSIDEO 20MG/ML SOL. INJETAVEL FA 5ML,ETOPOSIDEO
SACAROSE 20% SOL ORAL 50ML,SACAROSE
"PIPERACILINA + TAZOBACTAM 4,5G + SF0,9%100ML",PIPERACILINA + TAZOBACTAM
SUNItinibe 50MG,SUNITINIBE
DEXAmetasona 4 mg,DEXAMETASONA
Hidroxicloroquina 200mg Cap (Não Padrão),HIDROCORTISONA SUCCINATO SODICO
HALDOL (HALOPERIDOL) 5MG/ML AMP 1 ML,HaloPERidol
"Gluconato de cálcio 10 % 10mL + Cloreto de sódio 0,9% 90mL Sol inj 100mL (1%)",GLUCONATO DE CALCIO + CLORETO DE SODIO
Pirimetamina - comprimido 25 mg,PIRIMETAMINA
MPP:  TALIDOMIDA,TALIDOMIDA
ÁGUA DESTILADA 500ML - FRASCO,AGUA DESTILADA
Levodopa /Benserazida 100/25 mg (Port344/98),LEVODOPA + BENSERAZIDA
Levodopa+Benserazida HBS 100 mg/25 mg capsula,LEVODOPA + BENSERAZIDA
VINORELBINA VO,VINORELBINA
(Do paciente ) Sacubitril 49 mg + Valsartana 51 mg cp,SACUBITRIL + VALSARTANA
Polymixin B 500.000 Vi Fr/amp,POLIMIXINA B SULFATO
"TERBUTALINA 0,5MG+ SG 5% 250 ML",TERBUTALINA
LEVOTIROXINA SODICA COMP C/100MCG,LevoTIROXina
"Nasoar XT 5% Gran sol 14,55g (Não Padrão)",CLORETO DE SODIO
